HAGS	Frightful women
HTTP	URL starter
ARIA	Pavarotti performance
GARP	1982 Robin Williams title role
SPEEDUPS	Accelerations
GOAD	Push
GOBBLER	Tom turkey
ONEAL	2000 N.B.A. scoring leader for the Lakers
ACDC	Adapter letters
DESK	Inkstand's site
EASES	Greases the wheels for, say
ENDORSE	Sign
AARON	Hitter known as The Hammer
SPY	Operative
EPA	Clean Air Act enforcer: Abbr.
SYD	Barrett of early Pink Floyd
TRAP	Drain part
ONCE	In the past
NAPPY	Diaper, in Britain
TIRE	Kind of jack
BEDS	Nurses' responsibility
DRYAD	Wood nymph
PAPERBACKBOO	Short story?
ROSE	___ of Jericho
BANK	Possible drive-thru site
DOLL	Honey
ARNESS	"Gunsmoke" star
ESTATE	Heir cushion?
STASIS	Suspended animation
SETTOS	Melees
SPOUSE	Partner
SPOONS	Stirrers
PURINA	Brand name accompanying a checkerboard logo
OMELET	Brunch staple
DINS	Rackets
DIGIT	Finger or toe
ICON	On-screen image
STE	___-Mère-Église (Normandy invasion town)
PUMPERNICKE	Short bread?
NEAR	Fast approaching
TAT	Tit for ___
ORES	They're found in veins
EGO	Self-image
HAST	Biblical verb
HARSHEST	Least forgiving
OIL	Old master's work
TRAINSTATIO	Short stop?
THREADS	Clothes, slangily
RANT	Go on and on
SCARLET	Like a tanager
TARP	Canvas cover
NNE	How the St. Lawrence flows through Montreal: Abbr.
HART	"Blue Moon" lyricist
CARESS	Gentle stroke
SATURN	Car made in Spring Hill, Tenn.
UMBER	Brownish
JARS	Potpourri containers
JOULE	Physics unit
METAMORPHOSI	Short change?
AMIS	Writer Kingsley
MAST	Schooner part
OREO	Nabisco snack
SING	Be a rat
INTO	Passionate about
MAMBA	African tree snake
MAP	Glove compartment item
ACE	Big serve
MTA	1959 Kingston Trio hit
MAUL	Beat badly
ERIN	Leprechauns' land
ACTED	Worked on Broadway
ISLE	"Cast Away" setting
SENT	Let fly
PEARS	Compote fruit
STET	Dele undoer
TOGO	Like some restaurant orders
