CRAG	Lookout point
CHAMOIS	Soft leather
RUNAWAY	Flee
AGAMEMN	Trojan War chief
GOCART	Racer
BRA	Car protector
BON	French word of approval
RADIANCE	Glow
ATANDTOPERATORS	People good at making connections
SICKO	Candidate for a psych ward
SUERS	Court figures
INDIANCE	Violating orders
CLIMBER	Hillary, for one
KAN	Mo. neighbor
OPE	Unseal
HUGO	Memorable 1989 hurricane
OAT	One makes one Trigger happy
DUNLAP	Grosset's partner in publishing
DREI	German number
ANACONDA	Jungle creature
OSS	W.W. II org.
REDINE	Delineate again
MAMAS	___ boy
INTERIM	Meantime
TVS	Sets
OWERS	Chapter 11 filers
ADVISABLE	Wise
LIE	Become prone
ENT	Suffix with insist
IAMT	"You are too" response
ANTS	Some workers
AILS	Isn't doing well
NEIN	NATO refusal
SYN	Dict. listing
RICO	Ex-Bosoxer Petrocelli
RET	Part of A.A.R.P.: Abbr.
SECRET	It may be hard for one person to carry
SONG	Lay
ENS	Lt.'s inferior
TELEPHONE	Hint to filling in four squares in this puzzle
TOUGTOUT	Bravely endure
HOUSECAT	Declawed manx, e.g.
GOBOTS	Popular Tonka toys
GEL	Coalesce
OCA	Mozart's "L'___ del Cairo"
BRUISER	Bouncer type
EONS	Time and time again
HIS	Greetings
HONORER	Medal giver
INSALES	Where to find pitchers?
SETTYPE	Do printer's work
ECRU	Brown hue
ARUG	Cut ___
AGA	Muslim title
CONE	Summer treat
CRAAKE	Seafood delicacy
LAUGNGGAS	Old dental supply
NETTY	All meshed up?
GROS	___ point (certain stitch)
ERNST	Pioneer in Surrealism
ELL	Wing
ITERATE	Go over again
LAOAT	Smock
DESOTO	Early explorer of Florida
DAD	Pop
ELI	___ Lilly & Co.
OCULARLY	How things are seen
UEY	180 degree turn, in slang
ALEUTS	Relatives of Siberians
RAE	Norma Webster's middle name
KEEP	Uphold
DIRTY	Squalid
STY	Place that's 58-Across
ERSE	European tongue
