GALOPS	Some Strauss compositions
GIS	Dogfaces
ADA	Org. on a toothpaste box
LOW	Melancholy
ONEAL	7'1" 1993 N.B.A. Rookie of the Year
PODCASTS	Some iTunes downloads
STOUTLY	With resolve
SASS	Lip
SOFA	Cushioned seat
AUS	Neighbor of Ger.
SCHWINN	Bicycle maker since 1895
SHORES	Coasts
YAM	Thanksgiving side dish
YOGI	___ Bear
ABUT	Touch
MINH	Ho Chi ___ City
IDONOT	Defensive statement
OUCH	"That hurt!"
OBI	It's a cinch, in Sapporo
SAWEDOFFSHOTGUN	Weapon for Clyde Barrow
FREI	Independent, in Ingolstadt
TARHEEL	North Carolina athlete
ACURA	Japanese luxury auto
WRAITH	Specter
ITSLATE	1959 top 10 hit for Ricky Nelson
INRAGS	Like a street urchin, typically
TIERRA	___ del Fuego
SLALOM	Zig and zag, in skiing
BIER	Funeral stand
BOOS	They might follow bad calls
NIL	Zero
SLIPONSHOES	Loafers, e.g.
PRODS	Urges on
ORDAIN	Establish by decree
EAGLET	Hatchling in an aerie
STEADS	Places
REALTY	Landed property
LETEMIN	1976 hit that begins "Someone's knockin' at the door"
RON	Politico Paul
ERAT	"In principio ___ Verbum" (words from John 1:1)
ARLES	Van Gogh's "Bedroom in ___"
SOS	"Help!"... and a hint to 17-, 27-, 42- and 53-Across
SADR	Iraq's ___ City
HEDGE	Give a noncommittal answer
HOGCALLS	Noises from a county fair contest
GROT	Small cave, poetically
FAD	Beanie Babies, once
FLIESBY	Passes quickly
OOLALA	"How fa-a-ancy!"
ONEMILE	Distance between posts on a highway, maybe
SAMEOLDSONG	Tired routine, colloquially
OUTDID	Surpassed
ODES	Some works for heroes
IED	Weapon for Iraqi insurgents: Abbr.
MUIR	Conservationist on the California commemorative quarter
DECANTS	Pours, as wine
APEAK	Vertically, to a sailor
EXCITE	Electrify
ESPN	"Baseball Tonight" airer
XOXO	Letters in love letters
CUSS	Ornery sort
REMAP	Chart again
RFDS	Country mail rtes.
SOUNDSOFSILENCE	1966 album that concludes with "I Am a Rock"
OIE	Confit d'___ (potted goose)
NMI	It indicates a void in some govt. records
CAM	Ending with spy or sky
ESO	That: Sp.
PXS	Stores for 1-Down
IBID	Footnote abbr.
LLAMAS	South American camelids
NOS	Turndowns
DYES	They make the highlights in highlights
ESKIMO	Igloo dweller
