SOAP	Wet bar?
SAKS	"The Odd Couple" director, 1968
ORAL	Kind of exam
AERO	Prefix with magnetic
PALTRY	Insultingly small
ASSURE	Give confidence to
ALF	Gov. Landon
SIFT	Separate
SOFA	Comfy spot
UNIT	Soldiers' group
RELIEVE	Go in for
ELM	Blight victim
JUG	Wine holder
JULIA	Vanessa Redgrave title role
UNSER	1994 Indy 500 winner
GOURD	Primitive percussion instrument
AREA	Math figure
LIONEL	Big name in model trains
UNO	Popular card game
KARLOFFFILM	"The Mummy," for one
OHIO	West Virginia border river
LSU	N.C.A.A.'s Fighting Tigers
SLOTH	Hardly a speed demon
TATI	Star of "Mr. Hulot's Holiday"
TIER	Level
THROW	Intentionally lose
RIO	Popular resort, briefly
OFT	Frequently
ERHARD	Adenauer's successor
REDS	John Birchers' foes
PLAYOFFFEVER	Postseason excitement
PEAR	Anjou, for one
LODE	Source
ASAP	Pronto
FUROR	Uproar
FRUIT	Part of a balanced diet
ENERO	Año starter
EOS	Dawn goddess
TURNEDOVER	Flipped
VISA	Entrance requirement
ENOS	Grandson of Adam
RENT	'96 Tony winner for Best Musical
ADAGE	Saw
GESSO	Painting surface
ERTE	Fashion illustrator for Harper's Bazaar
RUE	Wish undone
SWINE	Lowlife
REPERTOIRE	Bag of tricks
TACTUAL	Touch-related
EFT	Newt
SON	Follower of "&" in many business names
STARTOFFFAST	Get a good jump in a race
FIEF	Feudal estate
FERULE	Schoolmarm's rod
PARSEC	Astronomical distance
POPUP	Easy out
AROMA	Redolence
RELAX	"Nothing's going to happen!"
TIE	Overtime cause
OREO	Snack choice
TADA	Interjection that may precede a bow
ATTA	"Girl" lead-in
DOIN	Ruin
AFRO	Prefix with centric
EROSE	Uneven
ONEL	1977 Turow book
SDAK	Badlands Natl. Park locale
ESPO	60's-70's N.H.L. nickname
POL	Washington denizen
CUTOFFFUNDS	Stop supporting, with "for"
CSA	Civil War inits.
FEN	Marsh
UMA	Actress Thurman
SATIRE	Swiftness?
LEAP	Sudden increase
PAX	Period of stability
ALANON	Concerned relatives group
ELKO	Nevada city
