STRIKESABALANCE	Doesn't take either extreme
SPREE	Shopaholic's thrill
TREND	Forecast, of a sort
RILED	Hot
ICE	Cap material?
KEA	Mauna ___ Observatory
ERS	Fence-sitters' sounds
SEEDY	Moth-eaten
AGOUTI	Rodent that makes an affectionate pet
BUNDESTAG	European legislature
ALEE	How some ships turn
LAS	Refrain from singing?
ATHOME	In
NIOBE	Daughter of Tantalus
COLON	Money of Costa Rica
ENDED	Wound up
PRICEREGULATION	Inflation fighter
RELEASEONESHOLD	Let go
ENE	Hydrocarbon suffix
DUDE	Bro
OBOE	Certain 55-Across
EDDY	Drain indicator
YOGI	Wise one
BYTE	Information unit
BEACON	Fire sign
EMEND	Free of errors
ERVINE	Writer St. John ___
OPE	Unbar, to Byron
PROTEM	For the time being
ISERE	Rhone tributary
EUREKA	Golden State motto
KINGRAT	James Clavell novel set in W.W. II
KAY	Knight of the Round Table
INA	___ flash
NTH	High power
THESAURUS	Meaningful work?
TUV	8 letters?
TAJ	Atlantic City hotel, familiarly, with "the"
TOR	Desolate spot
ANA	Baptism introduction?
JAL	Carrier to Tokyo, for short
ANTIOCH	Capital of ancient Syria
ARIZONA	Home for Cochise
ZENO	Early dialectician
YAH	Cry of derision
TOE	Turning point?
GENERAL	Salute receiver
SENSE	Purpose
SADIST	Tormentor
ERRATA	Slips
KEN	Russell of film
ABRAM	Presidential middle name
ARRAS	Tapestry
BEEFY	Opposite of thin
REGIS	Denver university
AREA	Vicinage
EATON	Actress Shirley of "Goldfinger"
ORGS	Yearbook sect.
RIFTS	Estrangements
GREET	Roll out the red carpet for
SEERS	Ones making forecasts
REED	Many an instrument
AURA	Companion of Artemis
ATOM	Tiny powerhouse
IRE	Wexford's locale: Abbr.
REGISTRATIONFEE	Entrance money
SHE	"___ Cried" (1962 hit)
IFA	"___ tree falls ..."
OWL	It may be spotted in the forest
NAY	Con's utterance
AFISHOUTOFWATER	Misfit, in a phrase
SYSTEMSANALYSTS	Efficiency experts
