EDWARD	King who united England
EQUAL	Like two dimes and four nickels
DULLY	Without much intelligence
WATTS	Actress Naomi of "Mulholland Dr."
AKIO	Sony co-founder Morita
REM	Post-retirement activity?
DRAWER	Bureau part
QTR	Game period: Abbr.
QWERTYKEYBOARDS	Places to find the letters circled in the grid
TYPE	Use 7-Down
ROUTEMAN	Worker who makes rounds
HASP	Hinged closer
HIPPOS	Zoo heavyweights, informally
ATOP	On
SASE	MS. enclosure
PLED	Argued (for)
QUAKER	Friend
WYO	Laramie's state: Abbr.
ITAL	They lean to the right: Abbr.
ULTIMATEPURPOSE	Teleologist's concern
TIN	10th anniversary gift
RAG	Scandal sheet
ALTO	Word on a Mexican stop sign
WIRETAPPED	Bugged
LYS	French flower
CENT	1/100 of a euro
CONGO	Neighbor of Gabon
EGO	Vainglory
FOR	On the side of
FEN	Quagmire
YAM	Part of the verb "to be," to Popeye
AHS	Sounds leading up to a sneeze
SKIP	Overlook
KIDD	Pirate captain of legend
ISLA	La Española, e.g.
PREY	Hunted animals
AUDEN	"September 1, 1939" poet
AULD	"___ Lang Syne"
USSR	U.S. ally in W.W. II
DIDO	One-named singer with the 2001 hit "Thank You"
KHAN	Old Asian ruler
NOVAS	Exploding stars
ISR	Jaffa's land: Abbr.
USINGONESNOODLE	Figuring something out
ONTARGET	Meeting expectations
NBA	Cagers' grp.
OJS	Breakfast drinks, for short
LSD	A hallucinogen
ONBY	Hanging ___ a thread
VJDAY	August 15, 1945
DROP	Nosedive
PACINO	"Scent of a Woman" Oscar winner
TAB	Indent setter
SAS	Carrier with the in-flight magazine Scanorama
SEEING	Going out with
AVA	Actress Gardner
VEN	Title for one on the way to sainthood: Abbr.
OLES	Cries during a paso doble
LTD	British "Inc."
HBO	"It's not TV. It's ___"
HENRI	Artist Matisse
BACON	Strips for breakfast
OPEDS	Some opinion pieces
EXACERBATE	Make worse
EZRA	Old Testament book
XOUT	Eliminate
ANIN	Have ___ with
BOND	It both precedes and follows James
HEAP	Clunker of a car
HAMM	Soccer star Mia
ZONINGORDINANCE	Part of a city code
NIA	Actress Long
RUIN	Bring to naught
END	Give the coup de grâce
NIMROD	Lamebrain, in slang
ATNO	___ extra cost
TDS	Some ESPN highlights, for short
GAMINS	Oliver Twist and others
