NASA	Org. for Sally Ride
NEMO	"Nautilus" skipper
ALES	Pub drinks
SETS	Complete collections
ACE	Duffer's miracle
AREA	For a square, it's the square of the side
ADEE	"Zip-__ Doo-Dah"
RES	Scale notes
ESTEEM	Self-__ (pride)
AISLE	Path for a bride
FLIP	Record's B, or __ side
FLAT	Reason to pull to the roadside
LIME	Calcium oxide
ICED	On the rocks
PEN	It has ink inside
ELECT	Decide
TRAP	Lint collector
DESI	Lucy's love
LICE	Cooties
METER	Coin collector at curbside
ESTS	Ballpark figs., often
AMEN	The last word
OSS	C.I.A.'s forerunner
AGE	Get mellower
GUITAR	Pedal steel __ (instrument played with a slide)
ELATED	Feeling an enormous amount of pride
APSO	Lhasa __ (Tibetan dog)
CPU	PC's "brain"
CROAKS	Frog sounds
DEEP	Like a bass voice
DENTIST	Administerer of nitrous oxide
ITAR	__-Tass
IPOS	New Nasdaq issuances: Abbr.
TOKEN	It'll get you a subway ride
AGREE	Coincide
ITEM	Agenda part
TAL	Former chess champ Mikhail
SLAW	Burger side
LARSON	Gary, creator of "The Far Side"
ATEUP	Really enjoyed
WEARE	"__ not amused"
POGO	Comics possum
TAN	Treat hide
TOATEE	Just right
TRAINS	What commuters ride
EDEN	Perfect place
OKRA	Gumbo veggie
ALTAR	Spot for a bride
ARA	Altar constellation
READ	Crack a book
SEEKER	Someone from whom to hide
ESSO	Old gas brand
IRA	Sinn Fein's org.
SURE	"You bet!"
NESS	Untouchables chief
ESAI	Morales of "La Bamba"
ELEVEN	Number on a football side
OPEN	26-Down's request,  "__ wide!"
SALT	It contains some potassium iodide
ASTRO	Houston pro
NIN	Writer Anaïs
IOTA	Tiny amount
CHOOSE	Decide
CHAT	F.D.R.'s talk by the fireside
HIGH	Kind of tide
OTOE	Siouan tribesman
USO	G.I. hangout
UGLY	Like a storied duckling
CAD	No-goodnik
CATO	Roman called "The Elder"
ASOU	Without __ (broke)
DERR	Author Earl __ Biggers
CHIT	I.O.U.
CPI	Inflation meas.
TVPG	Prime time rating, often
PAL	Amigo
TEASE	Ride
ECT	Outer: Prefix
PAGO	When doubled, a Samoan port
REAL	Bona fide
ACTOR	He may deliver an aside
ITHE	"__ Jury" (Spillane novel)
ONLY	Word on a sale sign
TOUR	Group with a guide
