EPEES	Flexible blades
EMBLEMS	Insignia
PILEDUP	Amassed
ECONOMY	Rental car choice
EROS	Cupid's Greek counterpart
SOD	Stuff sold in rolls
MACS	Machines that run Panther or Leopard
MOORE	Actress Mary Tyler ___
ASNER	Co-star of 6-Down in 1970s TV
CLEAR	Cloudless
SOY	___ milk
TOFU	Bean curd
TINORE	Cassiterite, e.g.
OROTUND	Like a good speaking voice
FINESSE	Deft touch
USOSHOW	Base entertainment
MICRO	Prefix with brewery
OSLO	Home of King Harald V
IRIS	Eye part
BLOODMONEY	Part of a drug lord's income, maybe
MAHI	When doubled, a fish
NONO	Burping in public, e.g.
LENS	Eye part
AREA	Field of expertise
MOTES	Small particles
MCV	When Emperor Henry IV was dethroned
EDO	Shogun's capital
CHERRYCRUSH	Fruity soda
CANE	Fred Astaire prop
YEAR	Oenophile's concern
MUMBAI	"Slumdog Millionaire" setting
BOR	Staten Isl., for one
EVENSO	Still
SPYON	Watch furtively
IPSA	Res ___ loquitur
ISM	Doctrine
PTA	Educ. group
SAX	"Yakety ___," 1963 hit
DEW	You might get your feet wet with this
REDSTARTS	Boldly patterned warblers ... and a hint to 17-, 24-, 50- and 59-Across
DIEU	Target of Pierre's prayers
THEY	Place with a gym
SAL	"The best pal that I ever had," in song
HIC	Minute Maid drink brand
HURSTON	Author Zora Neale ___ of the Harlem Renaissance
INUTERO	Not yet born
CABARET	1966 musical based on "I Am a Camera"
IMAX	Big film shower
HAZEL	Eye shade
ZEPHYRS	Gentle breezes
ENTREES	Sides accompaniers
LASORDA	World Series-winning manager of 1981 and 1988
UNABLE	Powerless
BYNAME	How famous people are known
LTD	Brit. company name ending
SELENA	Singer portrayed in film by Jennifer Lopez
SANK	Went under
RUBYTUESDAY	Rolling Stones hit of 1967
EGRET	Everglades wader
SLITS	Skirt features
DECAY	Break down
PTS	Liq. measures
STAND	Prepare to recite the Pledge of Allegiance
GLEN	Hidden valley
THRO	"Comin' ___ the Rye"
TACO	___ Bell
TERA	Trillion: Prefix
BRICKLAYER	Certain mason
BMI	Ascap alternative
LAB	Science course requirement, maybe
OREM	City in Utah
META	Prefix with physics
ACRED	Many-___ (large, as an estate)
NOTE	Half, quarter or eighth follower
ITSY	___-bitsy
BOSSA	___ nova
