BPOE	Fraternal org.
BORNE	Supported
PRAYPERVIEW	Like a televangelist's show?
OTS	Ends of some games, for short
ESHARP	F equivalent
ATOI	French possessive
ALOT	Very much
TEN	Evening hour
ONEMORE	Something for the road?
INSOMNIA	Difficulty with Z's?
HITS	Parade group?
HAHA	It's a laugh
IRIS	It's usually blue or brown
TIPSILY	Drunkenly
SDS	Grp. that spawned the Weathermen
SDAK	Neb. neighbor
SPREE	Jag
DRIPSTICK	Popsicle on a hot day?
AIDA	Opera set in Egypt
KEEL	Hull part
SORTS	Out of ___
SCAD	Whole slew
GLENN	"The Right Stuff" role
GNUS	African herd
ARID	Like Libya, largely
PRIE	___-dieu
CRASHINONESCHIPS	Fall asleep at the poker table?
INTOWN	Visiting locally
CROSSE	It's a racket
RIDE	Get carried away?
ANY	Flexible choice
ANUT	"What are you, some kind of ___?"
MORASS	Bog
NEPAL	High land
NINTH	Bruckner's last symphony
DEPARTS	Goes off
ASSETS	Makeup of an estate
COMO	Italian resort lake
CARAT	Lapidarist's weight unit
IVIES	Some are English
VISCERAL	Gut-level
ESPO	Orr teammate, familiarly
YARNS	They may be related to people at sea
YESYOU	Answer to "Who, me?"
OLIN	Actress Lena
OHOS	Cries of surprise
TOO	When doubled, la-di-da
ONLY	As recently as
OGEE	Arch type
SSRS	Est. and Lat., once
SHOPS	Bazaar units
SABRE	Buffalo hockey player
WHEREISTHYSTRING	Question to a Quaker kite flier?
HABITAT	Native place
TREAD	Part of a stairstep
RISE	Stairstep measure
HAVE	Wealthy one
NASA	Org. with a mission
AERO	Prefix with nautical
CHICLE	Chewing gum base
OBITS	Late news?
SISI	Answer to a señor
BYTE	Kilo- or mega- follower
EXAM	Breast ___
ESME	Salinger girl
MARTINA	Tennis's Hingis
SKYE	Scottish island
PRESIDIO	Garrison, Spanish-style
DANSEUSE	Ballets de Paris member
XENA	Lawless warrior
ETA	Sorority letter
NECK	Make out
ARIE	German opera part
ITAT	"Let's just leave ___ that"
SEW	Wrap (up)
SATURATEDFRAT	Campus group in its typical state?
RIPON	Wisconsin college or town
FAKERY	Deceitful doings
STS	Peter, Paul and Mary: Abbr.
STARGRAZERS	Mister Ed and Elsie the Cow?
TAROT	One of 22 cards
SNAPS	Pics
TINA	Singing partner of 114-Down
TOOK	Lifted
IMAC	Colorful Apple
ATLANTAN	Margaret Mitchell was one
NIPSAT	Bites a little
ALTO	Like some winds
ACCT	I.R.A. part: Abbr.
LAHR	Cowardly Lion portrayer
TROYSTORY	"Iliad: The Movie"?
STEP	Degree in music
EBON	Shade of black
KIKI	1970's singer ___ Dee
IMBED	Fix firmly
TIARA	Royal band
CAROLE	Grammy-winning King
LEARY	"The Psychedelic Reader" collaborator
BOSC	Pear type
STALER	Harder or softer, depending
CHLORIDE	Table salt is one
MENS	Department store department
STREAM	Course
PROP	Charlie Chaplin's cane, e.g.
CHOKEUPONTHEBRAT	What one often sees Homer do to Bart Simpson?
PARTNER	Square dancer's need
ELASTIC	Springy
SGTS	Joe Friday and others: Abbr.
TRY	Assay
ASAN	Hot ___ oven
ALLEY	Way with strays?
REAR	Stern
ENZYME	Trypsin, e.g.
SURER	More reliable
UBOAT	German sub
LOAD	Washerful
RENTALS	Blockbuster business
RIFT	Fissure
LOLLY	Sucker, in Surrey
SAFE	Not put out
GOTBY	Managed
GASH	Long cut
OREO	Nabisco treat
TYPERS	Computer users
YSER	Nord department river
PPPS	Third line at the bottom: Abbr.
DIAZ	Mexican dictator Porfirio ___
DOIN	Bump off
ZOA	Animal group suffix
AROO	Suffix with buck
INSPRITEOFMYSELF	Where I find impish impulses?
IKE	Singing partner of 71-Across
EXO	Skeleton's head?
SEA	North ___
SERA	Immunologists' samples
KEEP	Castle part
DIXIT	Ipse ___ (unproved statement)
MERLE	First name in cosmetics
HOYT	Yankee Hall-of-Famer Waite ___
ERRS	Miscalculates
ECON	Subj. with graphs
EASY	Unhurried
