SCOTT	Great one?
SPACER	One just filling in
CAPAPIE	From head to toe
OPINION	It's what you think
TUNIC	Ancient Greek attire
TAG	Running game
SAT	Got into the swing
STARFISH	Beachcomber's find
AURAE	Atmospheres
TEABAG	Leaves holder
PAPAL	Of 25-Down, e.g.
PACK	Smoker's purchase
AND	"What happened next?"
PARTYON	"Wayne's World" catchphrase
AMOROUS	In the mood
LEMANS	Auto racing locale
PAPUA	Its capital is Port Moresby
TUE	Super time?: Abbr.
ANAME	You may make one for yourself
APING	Mimicry
ARABCDROM	Storage medium for Middle Easterners?
BETA	As yet unmarketed, as software
CANI	Pleading child's words
DRABEK	Cy Young Award winner Doug
DEBUG	Free of errors
TRA	La lead-in
EPICDEFEAT	Loss on a grand scale?
DRRUTH	"The Art of Arousal" author
LYON	French silk center
LEOXI	Paul V's predecessor
RIO	Copa locale
RBI	Abbr. on a baseball card
GASEOUS	Like hydrogen and chlorine
SENTTO	Directed at
ENTRUST	Commit in confidence
TBILL	Govt. debt instrument
TIM	Duncan of the N.B.A.
EONS	Seemingly forever
BUGHIJINX	Ant-ics?
JAMMEDUP	No longer feeding, as a photocopier
IRONS	Pressing needs
LAIT	Bébé's intake
LEADORE	Galena, e.g.
ALROKER	Well-watched weatherman
MARTIAN	U.F.O. pilot, possibly
ASISAID	Reiteration lead-in
NOCANDO	"Impossible"
BELLHOP	One may show you to your room
BEAPAL	"C'mon, help me out here"
OCHS	Big name in newspaper publishing
PARTLY	Not all the way
MOT	Verbal jewel
SOD	Ball field covering
DEUCES	Low pair
EARL	Anthony Eden, for one
CALMNOVICE	Rookie with an even temper?
LOUSE	Real heel
VERSO	Left-hand page
ADO	Flap
THROES	Violent struggle
TRAY	Carhop's load
ESAU	Twin in the Torah
POKERSTUD	Romeo who bets on cards?
ENO	Musician Brian
FRANC	Monetary unit of Senegal
FAT	Overabundance
ARENA	Bowl
LSU	Shaq's alma mater
ASIDE	Out of the way
LEROY	"Bad, bad" Brown of song
YEP	"Got that right"
TODOS	Flaps
