AMMO	It's found in chambers
ALEPH	Jewish leader?
MOORE	Roger who played the same role seven times
MAJOR	Paramount
OFFTO	"___ the races!"
TROTS	Moves quickly
TRAM	Disney World transport
ROZ	Cartoonist Chast
OXIDE	Nitrous ___
TIEROD	Steering system component
SERENE	Composed
ACID	It was dropped in the '60s
AES	1950s political inits.
CDPLAYERS	Sound system staples
INUIT	Indigenous Canadian
DARTH	Title before Sidious or Maul
LOAF	Just watch TV, say
ROXIE	Historic San Francisco theater, with "the"
EDNA	Dame ___ Everage (Barry Humphries character)
EOJFRAZIER	Olympic boxing gold medalist of 1964
REDDI	___-wip
SPUR	It may be down at the heel
PROTEM	For the nonce
DREW	Was in a no-win situation?
WACO	Steve Martin's birthplace
LIT	Under the table
HEROD	King in "Jesus Christ Superstar"
JEONAMATH	Hero of Super Bowl III
JEEP	Cherokee, for one
MATTE	Certain finish
DIE	Run out of gas, say
IDS	Bouncers check them, briefly
DECAY	Tooth trouble
OJEBIDEN	47th U.S. vice president
OLE	Cheer for a matador
JAR	Candy holder
EVAPORATE	Disappear
BASIC	Meat-and-potatoes
NEO	Three-time Keanu Reeves character
OTERI	Cheri of "Scary Movie"
ROC	"Arabian Nights" bird
IDI	Uganda's ___ Amin
LAVA	Abrasive soap brand
SPEND	While away, as time
NEAR	By
DJS	Wedding reception hirees
TROD	Trampled (on)
ERASE	Wipe
ETON	Neighbor of Slough
OEJPESCI	Oscar winner of 1990
PHONY	Like the 28-Down of underage drinkers
PITAS	Pockets of dough?
ACESIT	Gets 100 on a test
SKILLS	Learned things
ASH	Light hair color
EJOCOCKER	Singer on day three of 1969's Woodstock
ENACT	Pass
JOLIE	Half of Brangelina
ENOLA	___ Gay (W.W. II bomber)
OFUSE	Handy
FUJIS	Some apples
UBOAT	W.W. II menace
SIENA	___ College, north of Albany, N.Y.
ESSAY	Lamb piece
NOR	Scand. land
NEIN	"No, mein Herr"
ANUBIS	Egyptian god with the head of a jackal
APRS	Loan figs.
ALAS	"'Tis a pity"
SEN	Committee member, maybe: Abbr.
SLOPPYJOES	School cafeteria fare ... and a hint to this puzzle's theme
PER	Word in a price
CITE	Commend, as for outstanding service
ILLER	More sick, in dialect
IANA	Bibliophile's suffix
TEEN	Archie or Veronica
TSARS	Winter Palace figures
STAY	Canine order
