WINS	Sports column?
WALT	First name in animation
ISOUR	"This ___ Youth" (Kenneth Lonergan play)
NEWTO	Just learning about
SATOUTS	Discovery of Galileo
SIGMA	Standard deviation symbol
SPRIER	Comparatively quick
ILIAD	Long series of woes
GENL	Lee, e.g.: Abbr.
MAG	___ wheel
ADS	Plugs
SPAM	War fare?
SMART	Burn
PAGETBACK	Gripping read
AXE	Brutally destroy
MID	Season opener?
ASEA	Like many a hurricane
PLEAD	Allege in defense
MAXI	Coat or skirt preceder
LOWTSRINGS	Disappointing election results
SRTA	Miss, south of the border
AGED	Seasoned
TUTORIAL	Help
ARE	Equal
ANISE	Parsley relative
ROUTED	Channeled
DONTTER	Resolute advice to the hesitant
DANDY	Fine accompaniment?
OLEO	Promise, e.g.
EERIE	À la Poe
RENDS	Fractures
TAR	Stuff for surfacing
DALI	He's found in the Prado
DANTE	Exile of 1302
BEE	Community contest
POLS	Stumpers?
PARER	Kitchen gizmo
OBESE	Really big
LEFTTTOOZ	Rights shouldn't be taken from it
WANES	Flags
WHITE	Frosty
ARN	Hal Foster comic character
ABE	One associated with honesty
JOHNDOE	No one special
JAPAN	No performers are found here
OMEN	Red sky, maybe
CID	Castilian hero
REF	Expert on the rules
AMITY	Good relations
EKES	Manages, with "out"
ENHANCE	Colorize, e.g.
EST	N.Y. minutes?
PETE	Fountain in New Orleans
SYN	Word for word: Abbr.
STEEPS	Immerses
YARD	Draper's unit
RETLANE	1985 sequel to a classic 1939 film
LOUSE	Cad
UTAHAN	Donny or Marie Osmond, e.g.
UPTAL	Slight indication?
AHOOT	"What ___!" ("Hilarious!")
NASTY	Like some habits
TON	Unit of nautical displacement
OPERAHAT	Tall topper
OCTA	Numerical prefix
TEEM	Overflow
THOU	Gee
TAD	Modicum
HMO	Insurance letters
NOCTEDNOSE	Like bats
NOD	Green-light indicator
ONE	Person
AMOS	Biblical book
ONTAP	Available
COTE	Small animal shelter
DOZE	Short time out?
DEALS	They follow cuts
ETYM	Dict. offering
