SHES	Cows and sows
SCABS	Strike breakers
HALLE	Oscar-winning Berry
EPSOM	English racing town
STOWE	"Uncle Tom's Cabin" author
RASP	Coarse file
RINGER	Horseshoes score
ARIA	It might hit the high notes
SANS	___ souci
PEEKS	Sneaks a look
BLAZE	Four-alarmer, e.g.
BEETLE	Popular VW
LAX	Left Coast airport letters
AGED	Old
ZERO	Round number?
ERTE	Old Harper's Bazaar artist
CAPT	Lt.'s superior
IRAE	"Dies ___"
EAGER	Raring to go
ALSO	To boot
NINE	Muses count
EXERT	Wield, as influence
BLOWAGASKET	Get angry, as a mechanic?
ALOOF	Distant
EARTH	You're on it
DOE	Buck's mate
SEMELE	Mother of Dionysus
SALS	"Do the Right Thing" pizzeria
SCONE	Serving with tea
OREM	City near Provo
ETTA	Suffix with oper-
MAHRE	Olympic skier Phil
RECESS	Play time
EDDA	Early Icelandic literature
SILL	Place to dust
SEES	Matches, as a wager
ASTRO	Houston athlete
AFRO	Big do
SLAT	Bed support
TYPO	Keyboard slip
ROTOR	Turbine part
TART	Bakery buy
REEL	Walk like a sot
ODIE	"Garfield" dog
FLYOFFTHEHANDLE	Get angry, as a bicyclist?
FREDO	A Corleone son
ABACI	Old adders
RAPT	Wholly absorbed
RARE	Like hen's teeth
BEALS	Jennifer of "Flashdance"
OTOOLE	"The Lion in Winter" star
LEGREE	4-Down's Simon
ELSA	Actress Lanchester
SILKEN	Smooth and soft
REDO	Make over
OBESE	Beyond pudgy
ICEAGE	When mastodons disappeared
ESTER	Fragrant substance
ATALE	Dickens title opener
GILLS	Breathers?
ECLAT	Brilliance
PTA	Grp. with students' interests at heart
POST	Drop in the mail
TITO	Former Yugoslav leader
ALAR	Winged
GOBALLISTIC	Get angry, as a missile designer?
AROD	Noted A.L. shortstop, for short
LIME	Drink garnish
OILER	Arrival at a refinery
ERR	Blow it
ERIK	Estrada of "CHiPs"
TALL	Bumping one's head on the ceiling, say
STARE	Impolite look
SOME	A few
ELLA	First name in scat
TORRE	Yankees manager Joe
EDEN	50's British P.M. Anthony
REST	Take a load off
