SHA	___ Na Na
STOLE	Lifted, so to speak
HELIX	Toy Slinky, essentially
ADDLE	Discombobulate
EMMAS	Samms and Thompson
ERECTED	Built
MEL	"Braveheart" star Gibson
MALI	French Sudan, today
ACED	Sailed through
STREAM	Mill site
ELMER	He bugs Bugs
ENGLISH	Backspin or topspin
LOO	Elton's john
MOLEHILLS	Minor problems, so to speak
ENDS	Pulls the plug on
REAP	Harvest
TED	Late-night competitor of Jay and Dave
REACT	Strike back
NOONE	Nary a soul
OLDYELLER	1957 Disney classic
YARN	Tar's tale
GOLDA	Prime minister before Yitzhak
LILAC	Potpourri scent
IDEAL	Rating a 10, say
AMP	Fuse rating unit
ESP	Paranormal letters
EXERTS	Wields, as influence
SWIM	Do the crawl
AMISH	Plain-living sect
SHES	"___ a Lady"
NEWHAMPSHIRE	Its primary is primary
HOE	Weed whacker
ANTED	Chipped in
REAL	Not fanciful
ENVY	A deadly sin
WHO	Question starter
WEBB	"Just the facts, ma'am" speaker
HALO	Luminous topper
OVERBOARD	Where jetsam goes
DION	Singer Celine
HELEN	Paris's abductee
EAVE	Mansard overhang
EARL	Marquis's inferior
METAL	Mercury or cobalt
APT	It may have 2 BR's
LEIS	Maui necklaces
SLAV	Croat or Bulgar
BLEAR	Blur with tears
ROOSTER	Comb carrier
EPEE	Blunted weapon
EMERGED	Left the cocoon
SLY	Like some glances
BORROWEDTIME	A daredevil may be living on this
WOK	Moo goo gai pan pan
EDIBLE	Fit to consume
EDER	River of Hesse
BLOOD	Bank deposit?
SEDATE	Calm down
ARABS	Many OPEC ministers
TASTE	Nibble on
ENSUE	Follow
SAO	___ Paulo
SAFE	Having escaped a tag
AWOL	M.P.'s quarry
SKIER	Lodge resident
ELIA	"On the Waterfront" director Kazan
RUTS	Dead-end jobs
RERAN	Aired over the summer, maybe
AWAIT	Hang around for
ICE	Rock salt may be used on it
BLUEGRASS	Earl Scruggs's music
ERE	Before, to Burns
FORCE	Use a crowbar on, say
LITRE	Petrol unit
BTU	Appliance meas.
ELDER	Mormon leader
EASED	Let up
SEE	Understand
