RAFT	Inter-island conveyance
RAJA	Indian king
AMUR	Russia/Manchuria boundary river
FANG	Poison injector
THEOREM	Provable proposition
TUSK	Ivory source
TAU	Ancient cross
UNO	Spanish count starter
STIRSUP	Agitates
KILO	2.2 lbs., approximately
SCALE	Map feature
SLASH	Drastically reduce
CANTATA	Bach specialty
ASK	"Shoot!"
LEE	General at Antietam
ERR	Drop the ball
AMAH	Asian nursemaid
ANTI	Con
LASER	Cutting tool
JUNEAUOILTANKER	Alaskan cargo ship
ANO	Four seasons in Sonora
TOW	Post-breakdown need
ARGON	About 1% of the atmosphere
ROOST	Settle down for the night
ROOMS	Quarters
OSTEO	Bone: Prefix
MOOLAH	Scratch
WHATIF	Start of an inventor's thought
TOUCAN	Colorful bird
INSANE	Totally out of the question
FIENDS	Troublemakers
HOLE	Negative space
HOTAIR	Empty promises
ONEDGE	Testy
LOTION	Moisturizer
SOUR	None too pleasant
ROBUST	Full-flavored
TONI	Singer Braxton
ONOMATOPOEIAUSE	Common feature in comic book dialogue
ACU	Prefix with pressure
ELISE	Beethoven dedicatee
ITS	"___ a small world ..."
TET	Asian occasion
CEL	Disney frame
BLT	Short order, for short
CAN	Preserve, in a way
ADIEUOAHUISLAND	Fond farewell to Honolulu and environs
ERASURE	Complete removal
HOSIERY	Women's wear department
LOSEOUT	Miss the boat
IGOR	Fictional hunchback
HOSS	"Bonanza" brother
ONES	They share keys with exclamation points
RENAME	Computer menu choice
MOONS	Io and Ganymede, e.g.
ELI	Ivy Leaguer
STEPS	Method
PTL	___ Club of old TV
SOLTI	Sir Georg with a baton
TAPE	Emergency medical kit item
TEMPT	Beguile
MYRA	"___ Breckinridge"
PENT	Locked (up)
TESS	Hardy heroine
SEQUOIAEMPLOYEE	California park worker
SAD	Blue
EDO	Shogun's capital
QOM	City SW of Tehran
MOE	A Stooge
PSS	Letter add-ons, for short
ADORN	Deck out
PROS	Whizzes
URNS	Some servers
DOMES	Igloos, basically
EYES	Looks over
TATS	Makes lace
