ABCS	Kindergarten instruction
AMOK	One way to run
BEBOP	Fast-tempoed jazz
CLEAR	Free from confusion
STYLES	Does salon work
DISC	Modern music holder
DOC	___ Martens (casual shoes)
INA	Pig ___ poke
SEPTA	Dividing membranes
CANONS	Church bylaws
ELENA	Next-to-last Italian queen
ERRS	Blunders
LOUTISH	Stupid and ill-mannered
EON	String of periods
NFC	Super Bowl winner more than 50% of the time: Abbr.
ASH	Hair color
MELT	Soften, as chocolate
ONEA	Draft-board classification
ROOFS	Puts a top on
OBEY	Follow
CAPNCRUNCH	Cereal box figure with a hat
CAGE	Where to put an old newspaper, maybe
KOALA	Eucalyptus muncher
ASHCANS	Trash bins
TOAST	"To happiness!," e.g.
PRESSGANG	Group forcing men into military service
SOLI	Songs for one
GOER	Suffix with theater
IMPS	Young troublemakers
MARIA	Julie Andrews role in "The Sound of Music"
PLODS	Trudges
STEAK	Porterhouse, e.g.
SHOO	"Go away!"
SEASALT	Product of dehydration
ATTEMPT	Essay
AGO	Years ___
ALBUM	Music holder
GABLE	House feature
OBGYN	Delivery specialist, for short?
CLEO	Disney goldfish
OLE	Grand ___ Opry
THROE	Pang
LAB	Popular family dog, familiarly
AIRLIFT	Emergency military operation
ITCH	Nagging desire
FRAU	Lady of the Haus
IDA	Hells Canyon locale: Abbr.
BBGUN	Shooter
USELESS	Of no value
ETRE	Raison d'___
ASK	Inquire
ULYSSES	Classic novel banned in the U.S. until 1933
EPEE	Olympics blade
SUCCOR	Assistance
CAME	Was present
EBBING	Subsiding
MENE	Word on a biblical wall
PUSHUPBRA	Enhancing undergarment
SHULA	Longtime Dolphins coach
RIGOR	Stiffness
AROSE	Popped up
LEECH	Sucker
ESSO	Classic gas
TBIRD	Stylish Ford, briefly
DREW	Attracted
CHEESECURL	Orange snack item
CAT	Cool ___
HMO	Patient care grp.
EAR	Pitcher part
REP	Workout unit
LOT	Parking site
IGOR	Russian choreographer Moiseyev
AMASS	Gather
OLEO	Dairy case item
NOSE	It may be wrinkled
TORSO	Body of art?
RAPT	Deep in thought
GREW	Got larger
