SOUP	*Salad partner
SACRE	Paris's ___-Coeur Basilica
ORLON	Sock material
UNAPT	Not suitable
POWERSAW	Buzzer on "This Old House"
PANSY	Velvety bloomer
PISCES	Last sign
ALTOS	Some saxophones
NERO	Charles Laughton's role in "The Sign of the Cross"
SNIP	Sassy one
YEN	It's issued by the Nippon Ginko
ACNE	Dreaded prom night sight
ACTION	Director's order
CORNSALAD	Summer side dish
NUIT	When the stars come out in Paris
EPOS	Long narrative poem
ARNO	River of Tuscany
ILENE	Graff of stage and screen
COUP	*Takeover
CLAW	Cat's gripper
STRINGTRIO	Violin, viola and cello
GPO	Mail ctr.
ROPE	Hitchcock thriller
COOP	*Pen
PINTS	Half-and-half quantities
ENTRIES	Mail at contest central
ISSHE	Joe Jackson's "___ Really Going Out With Him?"
COOS	*Cote calls
CATH	Like J.F.K.: Abbr.
SSS	Sound from a frying pan
FRA	Monastery title
FLECK	Dandruff bit
ROSA	Monte ___, highest point in the Pennine Alps
NAPE	Place brushed by a barber
PANG	Twinge
EDGE	Beat (out)
SODAS	Sprites in bottles?
STDS	Norms: Abbr.
OHHI	"I didn't think you'd be here ..."
DESKCLERK	Hotel front person
BLOTS	Bad marks
BLIP	It might be on one's radar
SEWER	Storm drain, e.g.
LAD	Knickers wearer
THEWHOLESHEBANG	From 1- to 67-Across
ORTS	Scraps for Spike
BETATRON	Particle accelerator
DHS	Some A.L. sluggers
ERICA	Jong who wrote "Sappho's Leap"
WEDGE	Woodcutter's tool
SIKH	Many a turban wearer
HOARDS	Collectors' collections
TPK	Toll rd.
JET	Sleek runway model?
JESSES	James and Jackson
COTS	*Sleep lab purchases
TSA	Airport org.
AERATOR	Lawn care tool
ATEST	Event in 1940s-'50s headlines
TOYOU	Conclusion of "Happy Birthday"
OPART	Eye-popping canvases
RENTS	They're high in Manhattan
HULAS	Sinuous dances
HOWI	"Oh, ___ Love Jesus" (hymn)
UPON	Apprised of
CUTS	*Salon styles
CORE	Curriculum part
ULAN	___ Bator
TOPE	Drink to excess
OPERAROLES	Aida and Norma, notably
REV	Increase, with "up"
RYAN	Chicago's Dan ___ Expressway
WORD	Kind of ladder exemplified by the answers to the seven starred clues
ERASE	Backspace over text
OORT	Astronomy's ___ cloud
INKS	Finishes, as cartoon artwork, with "in"
VENTS	Blows off steam
NUTS	*Fanatics
