BLABS	Squeals
BACH	Mass producer
LUAU	Occasion to cook in an imu
ARUM	Kind of lily
BIGBET	High roller's venture
SCHEMERS	They have plots
PAM	One of the Ewings on "Dallas"
PORTICO	Attachment in classical architecture
ARE	Form of "to be"
MRDEEDS	2002 title role for Adam Sandler
ISAAC	Father of well-known twins
ICANSO	Rejoinder to a doubter
SANS	Without
AND	Additionally
ADE	"Fables in Slang" author
CYD	Children's book illustrator Moore
AURIC	Gold-related
ORR	He racked up 645 assists
CANDY	Liquor alternative, in verse
CAUGHTREDHANDED	Like an unlucky thief
TRANIO	Romantic plotter in "The Taming of the Shrew"
HIRT	"Honey in the Horn" jazzman
HUMBERT	When doubled, a literary lecher
EINS	Beethoven's one
EMAILERS	Many correspondents, nowadays
LET	Court call
NFC	Lions play in it: Abbr.
NANOOK	Title subject of a classic 1922 documentary
FIGURE	1, for one
CLERGY	Cloth
SENTENCEDTOJAIL	Like the thief at 17-Across
SNAPUP	Purchase quickly
ERRANT	Seeking adventure
NAIADS	Juvenile dragonflies
JIM	Name in the original "Star Trek"
NRA	Piece activists?: Abbr.
RIOTS	Revolts
INGE	"Picnic" playwright
ARIOSO	Songlike
ORE	Graphite, e.g.
ARMOUR	Hall-of-Fame golfer Tommy ___, called the "Silver Scot"
ALANON	Its motto is "To help them, you have to help yourself first"
RENTROLL	Landlord's record
PAAR	Hugh Downs was his announcer
LISLE	Some knit goods
LOSEOUT	Get the short end of the stick
ICE	Driving danger
SKIPSBY	Passes jauntily
ORG	Dot follower
UNDERLOCKANDKEY	Like the thief at 17- and 27-Across
REGENT	University officer
LAUD	Sing a paean to
DOTTIE	Golfer Pepper
PTS	Tally: Abbr.
EASEINTO	Not enter hurriedly
AGUE	Cause of some shaking
AMEN	Service approval
PORTAGE	Short land route between two lakes
APED	Did like
GAGE	Plum variety
EYER	One giving the once-over
CRIMEDOESNOTPAY	Classic moral
CIG	Smoke
RBI	An Indian might get one: Abbr.
ISA	"Love ___ Ball" (1963 comedy)
ERA	Chronology component
IBSEN	"The Wild Duck" playwright
URB	Inner city, e.g.
LIEGE	Loyal subject
GIANT	Megacorporation
TAY	Longest river of Scotland
LEDER	German shoe material
