JAMB	Door frame upright
JOT	Scribble
ARAB	Riyadh resident
MAXI	Shin-covering skirt
BLITZ	Football charge
HAJJ	Muslim's journey
HOTSEAT	Chair facing Regis Philbin, with "the"
AMAT	Latin 101 verb
JOSH	Kid
JOKER	Ace topper
IMAMS	Mosque officials
INQUIRE	Ask
MAUL	Stake-driving hammer
ATOLL	Bikini, for one
MATEY	Brit's buddy
SLATE	Candidate list
ORAL	Kind of arguments
OMOO	"Typee" sequel
NATAL	KwaZulu-___ province, South Africa
TAXI	Airport/hotel connection
TASK	Take to ___ (reprimand)
QUOTA	Sales clerk's minimum
BITESTHEBULLET	Faces up to expected hardship
EELS	Snakelike swimmers
BOSC	Pear variety
ZEE	Tappan ___ Bridge
ROI	Le ___ Soleil (Louis XIV)
LYE	Soapmaking need
ASP	Snake with a nasty bite
ACTS	"Hamlet" has five
SHOW	Come in third
PENA	Elizabeth of "La Bamba"
LAPP	Reindeer herder
PHEW	"That was close!"
PEPSI	RC competitor
SRS	Promgoers: Abbr.
SNUB	Social rebuff
CHEWSTHESCENERY	Emotes
WELK	"Champagne music" maestro
SITZ	Therapeutic kind of bath
ELAM	Western film actor Jack
REID	Nevada Sen. Harry
YETI	Himalayan legend
TONE	Muscle quality
EPI	Prefix with center
ULEE	1997 Peter Fonda title role
SWALLOWSTHEBAIT	Falls for a scam
LIPSYNC	Not really sing
OMIT	Leave out
HOLEDUP	Hid from pursuers
EDEN	First place?
KIM	Kipling novel
IZOD	Shirt brand
MDI	Start of the 16th century
AVA	Ex of Frank and Artie
ADIOS	"So long"
VITRO	In ___ fertilization
AGAIN	Once more
PIA	Singer Zadora
ASHES	Contents of some urns
LEM	Moon vehicle
MEZZO	Certain soprano
DIGESTSTHENEWS	Takes in recent events
ELOI	"The Time Machine" people
TECH	Kind of support
HERO	Decorated cop, say
WEEK	Half a fortnight
SARA	"___ Smile" (Hall & Oates hit)
ITALY	Sicily's "kicker"
HEED	Act on, as advice
ZEAL	Gung-ho quality
LOY	Moviedom's Myrna
ORION	Constellation with a belt
ECRU	Linen color
ZERO	"Beetle Bailey" boob
SONIC	Part of SST
SHOP	Carpentry class
OKAY	Thumbs-up
