SEALIN	Enclose
SAPID	Tasty
ELINA	Actress Löwensohn of "Nadja," 1994
ABCTV	"Alias" airer
LITHE	Ballerina-like
INURE	Naturalize
NOREGRETS	"I wouldn't have it any other way"
SCRIPTS	Plans out in detail
SPERRY	Gyroscope inventor
CHUMS	Associates closely
RATS	Refuse visitors
IRE	Burn up
PARIETALS	Rules for allowing members of the opposite sex into dorms
TOPSECRET	Known to next to none
SHEATHED	Like some swords
ALBINOS	Unlikely beachgoers
SEEGERS	"Turn! Turn! Turn!" songwriter and others
PHARAOH	Tyrant
PICTURE	Still, maybe
EUTERPE	Goddess depicted holding a flute
INTHREE	Trisected
RMS	Real estate ad abbr.
ISA	"There ___ time …"
DAVEEGGERS	"A Heartbreaking Work of Staggering Genius" author
ELK	Army of Hope member
MEET	Heated competition?
MEROE	Ancient capital on the Nile
RELY	Be sure of, with "on"
FETCH	Bring in
FUJI	Film maker
BERSERK	Foaming at the mouth
BONAPARTE	Historical Corsican family name
EIDERDOWN	Soft support
RLESS	Like English pronunciation in most of England
SERE	Sun-burned
CURARE	Arrow poison
CANAANITE	Language of ancient Syria
TOILETS	Heads
TAPASBAR	Place to get paella
CAJOLED	Blandished
CAREERS	They can be carved out
ANDERS	Celsius who devised the Celsius scale
ZANIEST	Most Marxian?
ZAK	Ringo's oldest son
PAESE	Bel ___
PARA	Plane-jumping G.I.
PABSTS	Some cold ones
APRS	Auto loan nos.
MAKEASCENE	Rant and rave
MORSE	Kind of alphabet
SANAA	Arabian capital
CBGBS	Legendary N.Y.C. club that launched punk rock
ELSIE	Woman from Chelsea, in the song "Cabaret"
NEILL	Sam of "Wimbledon," 2004
ERNES	Flying fish eaters
SAD	Needing a lift
GOB	Windjammer
GERM	Spark
ENABLER	Al-Anon member, maybe
BROKERS	Security personnel?
KOA	R.V. refuge org.
RINGSIN	Heralds
ATWORST	If everything fails
STABILE	Not moving
RENAMES	Picks again
EASELS	Holders of conferences?
