CHASMS	Big drops
CLAW	Dig sans tools
HASH	Work (out)
ANTE	Table payment
SCURVE	Winding road section
MEDEA	Daughter of King Aeëtes
STY	Bay of pigs?
SIP	Small intake
SUNROOF	Option not available in a convertible
INSO	___ many words
PACKS	Smokers' units
JOSH	Rib
JAR	Disturb
OSLO	Christiania, now
SKEW	Bias
HATE	More than antipathy
LANCET	British medical journal, with "The"
UNALASKA	One of the Aleutian Islands
LASTGASP	Closing moment
ASTUDYINSCARLET	Debut of Sherlock Holmes
IGUESSSO	Weak yes
WHERE	Seeker's question
GROKS	Understands, slangily
OWE	Need to pay
VACUO	In ___ (isolated)
CLING	React to some static
STS	1st, 2nd and 3rd, e.g.: Abbr.
SELA	Ward on TV
OPIE	60's TV kid
ORATE	Declaim
PASHA	Ottoman Empire governor
INSET	Miniature photo, maybe
LEON	Henry James biographer Edel
NOSERING	Leader's aid
GELID	Freezing
LIMBO	Transitional state
IBEAM	Girder
DISHY	Like good gossip columnists
RAN	Headed
AISFORALIBI	Debut of Kinsey Millhone
AGITATOR	Bolshevik, e.g.
REESE	Kyle ___, "The Terminator" hero
ASSIGNS	Distributes, as tasks
IBIS	Wading bird
SESAMES	Bun toppers
THEBIGSLEEP	Debut of Philip Marlowe
LADINOS	Unmanageable horses, in the Southwest
BAH	Haughty outburst
EATIT	Fail ignominiously
OARS	"Stop rowing" command
HOMY	Comfortable, as accommodations
HOORAH	Triumphant shout
SAD	Blue
DUVAL	2001 British Open champion David ___
DIEGO	World Cup legend Maradona
GLADE	Clearing
EWE	Milk source for Romano cheese
ETCH	Do work on glass, say
WHOA	Shout from a coach
EELS	Slender fish
TURIN	First capital of the kingdom of Italy
RIDE	Depend (on)
LOEWE	"Camelot" composer
EGGO	Frozen food brand
WEIR	Peter who directed "The Truman Show"
ETON	Town on the Thames
THEMOVINGTARGET	Debut of Lew Archer
MOP	Heavy-duty locks?
TAD	Smidgen
COLORADO	Black Canyon carver, with "the"
ADAGIO	Samuel Barber's "___ for Strings"
HASP	Door fixture
LES	Brown with His Band of Renown
DEHORN	Render harmless, in a way
