FISTBUMP	Pound of flesh?
FARO	Baccarat alternative
ITALIANO	What "Arrivederci!" is spoken in
STRATTON	"The ___ Story," Jimmy Stewart baseball movie
THE	Dijon drink
BEBE	Madre's treasure
UZIS	"Munich" arms
MORPHEUS	Man of one's dreams?
PODIUMS	Stands above the crowd?
SPREAD	Difference between winners and losers?
STALK	Follow too closely
PUSSYCATS	Softies
RIS	Ray Bradbury's "___ for Rocket"
ELINOR	One of Austen's Dashwood sisters
ALGORE	"Take it from me, elections matter" speaker
DENNYS	Chain offering Moons Over My Hammy
ATTHEZOO	1967 Simon & Garfunkel hit
TUILLE	Armor plate protecting the hip and thigh
RAREBIRD	One in a million
ASSIGN	Fix
OLA	Rock-___
ESPIALS	Furtive observations
ANY	Whichever
NON	Only word spoken in Mel Brooks's "Silent Movie"
ITT	Hirsute sitcom relative
TARANTO	Port on Italy's "heel"
HUNKYDORY	O.K.
DORITOS	Bowl filler for a bowl game, maybe
DATA	It may be classified
DES	North Dakota's ___ Lacs National Wildlife Refuge
REMY	___ Martin
ROAD	Drag
CORES	Mining samples
ENORMOUS	Hard to ignore
MTEVEREST	It's all downhill from here
JAR	Shake or rattle, but not roll
JUDD	Filmmaker Apatow
SONATAS	Some concert pieces
PUTITTO	Cheated, in slang
PARTICLE	Fermion or boson
TOKYOJOE	1949 Humphrey Bogart/Sessue Hayakawa movie
TRIMMERS	Lawn care equipment
OYE	Gloria Estefan hit whose title is Spanish for "Listen!"
NED	"Be More Chill" novelist Vizzini
SADSTORY	Weeper
SOURSOP	Cousin of a custard apple
ABCTV	"World News Now" airer
AZTECS	Some pyramid builders
BESTOW	Award
CRECHE	Christmas scene
WORD	Conversation piece?
WON	Landed
OKIE	Kind of accent used by Ado Annie
ZEROEDOUT	Reduced to nothing
DUSTS	Wipes clean
SYM	Like a mirror image: Abbr.
TSE	Lao-___
RUNRIOT	Go wild
ORDS	Municipal regs.
TASK	Job
OMS	Some temple utterances
STET	Leave without changing
ETCHES	Makes a lasting impression
HOE	It may leave a noticeable plot hole
SCRAMJET	Hypersonic plane engine
MCI	Verizon acquisition of 2006
COHOST	One who splits the bill?
OLDSCORE	Longstanding issue
SWEETS	Tootsie
PESKIEST	Most difficult to manage
