EGADS	"Yikes!"
ELEC	Con Ed power: Abbr.
GOAL	Hockey score
AGRO	Soil: Prefix
DITS	Morse marks
SCHED	Flight board, e.g.: Abbr.
SALS	Actor Mineo and others
STUPOR	Daze
AAA	Car owners' org.
LUKE	An apostle
STEM	Plant part
SEPT	Aug.'s follower
STILTS	Clowns' props
EATEN	Consumed
PRIMA	Kind of ballerina
TASS	Soviet news service
LOGIC	Sound thinking
TAUT	Strung tightly
TARA	The O'Hara homestead
EARTHQUAKE	Catastrophic event
QUOD	Part of Q.E.D.
ITIS	"How sweet ___!"
CLOSEUP	Camera shot that gets all the details
EMBLEMS	Logos
BEREFT	Deprived (of)
DOOR	Knob site
RIPENED	Matured, as fruit
ETNA	Sicilian erupter
BETA	Phi ___ Kappa
BASS	Lowest voice
ELAL	Airline to Israel
TINY	Minuscule
ABA	Lawyers' org.
DRIVERS	Chauffeurs
VIA	By way of
ENS	Lt.'s inferior, in the Navy
ALIBI	"I was out of town at the time of the murder," e.g.
INCUBI	Evil spirits
PINE	Tree with cones
GAS	Neon or oxygen
GUYS	Fellows
ALMA	___ mater
STEP	Stair part
SANANDREASFAULT	Locale for a 17-Across
DAN	Newsman Rather
RIB	Tease
AHA	"I have an idea!"
SLY	Underhanded
CAIN	Raise ___ (cause a ruckus)
THYME	Soup seasoning
SUNBELT	The South and the Southwest
SORBET	Cold dessert
LACERS	Ones stringing up shoes
THOR	Thunder god
ASAP	Right away, on a memo
SLOB	Messy dresser
SMILE	Photographer's request
LEMON	Scent in furniture polish
DAHS	Partner of 4-Down
SASHA	Alexander, for short
AMERICA	Song starting "My country, 'tis of thee"
ALAS	"What a shame"
CABS	Taxis
AFRO	1960's activist's hairdo
COACHES	Team heads
CHAN	Detective Charlie
HONE	Sharpen
ECON	Supply-and-demand subj.
SKIT	Comical playlet
LIMB	An arm or a leg
AFTERSHOCK	It might follow a 17-Across
TEN	Perfect rating
ALOE	___ vera
BRER	___ Rabbit
HANOI	Vietnam's capital
SENT	Mailed
SONS	Princes, e.g.
ANENT	In regard to
