FANGS	Prominent feature of Dracula
FAB	Wonderful, slangily
ADO	Fuss
NEW	Partner of improved
GALA	Big bash
SLIM	___ to none (long odds)
CLASS	Reunion group
CYGNUS	Stellar swan
LABOR	Part of a repair estimate
AHA	"Got it!"
SOL	Showman Hurok
SOLOED	Went at it alone
FLO	Showman Ziegfeld
FLAKE	Cereal morsel
LILAC	Purple hue
OZARK	Country/rock's ___ Mountain Daredevils
ADEAL	"Let's Make ___"
YAHOO	Search engine name
LIZ	Designer Claiborne
BOWLINGBALL	It may end up in the gutter
NITE	Nick at ___
ALA	In the style of
AMINO	___ acid (protein component)
OSKAR	Schindler of "Schindler's List"
SNARLED	Tangled, as hair
TAP	Spy's device
TENTS	Big tops
ALOHA	Lei Day greeting
PAVES	Blacktops, say
TURTLENECK	Sweater style
TAPE	Surveillance evidence
LIAR	Fact fudger
ELAPSES	Runs out
PAYHIKE	Common union demand
SEC	Part of a min.
AIDA	Slave girl of opera
NOVAE	Exploding stars
EPA	Fuel economy org.
EBB	Flow back
ROMA	City in Italia
OLDIE	Nostalgic tune
MEGAN	Mullally of "Will & Grace"
ADELE	Fred Astaire's sister
THEYCANBEROLLED	What 17-, 26-, 50- and 60-Across have in common
AMOR	Bow-toting god
NOLO	Certain plea, for short
OWN	Of one's ___
SASH	Pageant accessory
MOB	Tony Soprano and cohorts, with "the"
WEDGE	Cheese hunk
IDOL	One on a pedestal
DERMAL	Skin-related
SUNDIAL	Old timer?
STEELS	Makes hard
USMC	"Semper Fi" org.
QUAKEROATS	Classic breakfast fare
QUART	Milk purchase
UNTIE	Loosen, in a way
ADAGE	Bit of wisdom
ADIEU	Parting word
ENE	Suffix with butyl
UNDER	Reporting to
DEMOS	How-to presentations
OAFS	Klutzy sorts
SMUT	Dirty reading
ATA	___ glance
MOVIECAMERA	Item on a set
ORO	"___ y plata"
VIC	Trader ___ (old restaurateur)
EMU	Rhea relative
RED	Like Republican states on an electoral map
ASS	Braying beast
RIG	Fix illegally
ARIEL	Disney mermaid
FUMES	Sees red
TEE	Informal top
LOCUS	Center of power
STUDS	Some retired racehorses
