OHBOY	"Sweet!"
OPTIMA	Bests
HERMAN	"Hello, Dolly!" composer
BREAKS	Pool openings
OSAGE	County in Kansas, Missouri or Oklahoma
YETIS	Some unsubstantiated sightings
MFOR	"Dial ___ Murder"
MENATARMS	Knights, e.g.
FIAT	Order
ORRIN	Hatch in Washington
RECOUP	Get back
IPOD	Mini, e.g.
INSIGNIAS	Parts of many military uniforms
PASSESON	Relays
OSU	Pac-10's Beavers: Abbr.
DAS	Zeitung article
PERSE	Inherently
EIRE	Europe's third-largest island
NASA	Rover's watcher
TREAT	Rover's reward
NARCISSUS	Self-absorbed individual
INGESTS	Gets down
IMAGINATIONIS	Start of an Einstein quote that holds true when solving clever crosswords
NISEI	Some W.W. II internees
MAKESIT	Doesn't fall short
NUGGETS	Chicken choice
TEUT	Ger.
SEX	Questionnaire info
ANS	R.S.V.P., e.g.: Abbr.
SAE	R.S.V.P. facilitator: Abbr.
EMPTY	Drain
PENSEE	Thought about Paris?
THERMS	Gas usage units
TRIESHARD	Strains
HEISMAN	Big honor for a college athlete
SORELOSER	One might refuse to shake hands
SIOUX	North Dakota Fighting ___
MOREIMPORTANT	Middle of the quote
MEIR	Head of state who resigned in 1974
ONPATROL	Making the rounds
RENEW	Esquire's plea?
GENII	Guardian spirits
GRE	M.A. hopeful's hurdle
STRESS	Type A problem
RIPEST	Most ready
TUNNEY	Writer of "A Man Must Fight," 1932
YEN	Far Eastern capital
RUE	Scented, medicinal plant
REDHOT	Burning
URGENT	Burning
ENERGY	It can be conserved
ERASMUS	Originator of the phrase "Pandora's box"
SKINS	Some kitchen waste
LECTERN	Something often read from
CLOWN	Performer with a big mouth?
TETRA	Fourfront?
THANKNOWLEDGE	End of the quote
NENE	Bogotá baby
TYRANNIES	Unpleasant rules to be under
TAB	Indexing aid
YMA	Singer who appeared with Charlton in "Secret of the Incas"
OTHER	Check box choice
AMOR	Antony's love
ENNE	Trix alternative?
WRONG	Treat unjustly
BALD	Unable to part?
YSER	Scene of W.W. I fighting
NATTY	Smart
