ARR	La Guardia posting: Abbr.
ALIENOR	Property transferor
RANLATE	Was behind schedule
REGIMENT	Colonel's command
CAROM	Pool ploy
CANAL	Martian marking
ALIT	Deplaned
RENE	Artist Magritte
OUT	In the open
MTHOOD	Peak in the Cascades
IMAMS	Mosque officials
INGOT	Precious bar
MORRO	Havana's ___ Castle
ARA	Altar in the sky
MMI	Famous movie year
SANDFLY	Beach annoyance
UTAH	Logan's home
UNKNIT	Straighten out
TOEACHHISGOWN	Documentary about cross-dressing?
ARENA	Concert venue
HANG	Be undecided
ALAE	Wings
ASCENT	Mountaineer's effort
ALEUT	Bering Sea hunter
NORMA	Shearer on the screen
NORA	Mrs. Charles
SINGININTHEGRAIN	Musical version of "The Corn Is Green"?
IBE	"When Will ___ Loved"
EDU	Dot follower, perhaps
KEEN	Lament loudly
CELIBATE	Like cardinals
ODOR	Dump emanation
DANANG	Port of Vietnam
ARI	"Exodus" character
ENAMEL	Crown covering
GOUTOFAFRICA	Movie about a Mali malady?
GOTO	Attend
FLAN	Custard dessert
AIRED	Broadcast
NOTE	Score unit
APOD	Snake, for one
ANGELA	McCourt matriarch
PALADIN	Traveling gunslinger
LILITH	Frasier's ex
TRENT	Midlands river
THEM	The folks over there
NAT	Rebellious Turner
SALARY	Pay
SEMI	It may jackknife
ADAM	Fall guy?
LOSER	Short-straw drawer
HON	Pet name
OVERLAY	Superimpose
NEREIDS	Sea nymphs of myth
THEGLOVEDONE	Michael Jackson biopic?
ELOPER	Visitor for a justice of the peace
VAT	Winery sight
DRIVE	Start a hole
DEM	"Oh, ___ Golden Slippers" (classic tune)
RIIS	Jacob of journalism
ERG	Piece of work
EVICTEE	Expelled tenant
RASHERS	Bacon orders
GROOMATTHETOP	Film about a wedding on Everest?
ELEA	Where Zeno taught
AMAS	Latin lesson word
DREISER	"Jennie Gerhardt" author
RESALE	Used-car deal
VAR	Crossword clue abbr.
MOLD	Get into shape?
TIMES	x
SUBDUED	Quiet
EMIGRE	Asylum seeker
ISON	Has the stage
NIPS	Barely beats
PAIR	Brace
REALM	Bailiwick
RUBS	Applies, with "on"
BRATTY	Spoiled
SOLI	Arias
CHOICE	Between prime and good
CUE	Introductory words, maybe
NEPAL	High land
PULE	Whimper
ATAD	Somewhat
LOB	High ball
BRAD	It gets hit on the head
DIVA	La Scala star
WAD	Bunch of bills
TEMPURA	Teriyaki alternative
AGAIN	On the other hand
AUTO	Crosley or Nash
DALI	"Atomic Leda" painter
NYS	Yankee insignias
ERASE	Remove marginalia
GALLABOUTEVE	Bitter biblical epic?
ARAG	"To ___ and a bone ...": Kipling
OMNI	Potent leader?
ESCAPADE	Crazy prank
EST	Ultimate ending
FARMED	Worked the land
FLIPPER	Old TV series set in Coral Key Park
MET	Got together
ASTRO	The Jetsons' dog
TRIPPED	Took a header
RILLETS	Little streams
OBSESS	Haunt
THALIA	Sister of Calliope
HECATE	Queen of Hades
AKA	Blotter letters
INDY	500 spot
IGNORE	Shrug off
CRIB	Take (from)
THEKINGANDGI	Subtitle of "Elvis: The Army Years"?
TOSCA	Cavaradossi's lover
ARNEL	Synthetic fiber
NEEDY	Down on one's luck
DIT	Morse minimum
EMAILS	Quick responses
ERECT	Set up
MAG	Kind of wheels
TOECAP	Shoe reinforcement
TEST	Battery component
REIN	Trigger control
SCRAPPLE	Pennsylvania Dutch dish
STLO	Normandy battle site
CHIA	Pet plant
ESTA	Are, in Argentina
PLANETOFTHEGAPES	Part of the "Stare Trek" series?
LEA	Tony winner Salonga
ALL	The lot
FEB	Cal. page
SCOT	Caber tosser
EELED	Sniggled
RELIC	Piece of history
DETS	Priv. eyes
TAPE	Blockbuster buy
RALLY	Exchange at Wimbledon
EBOAT	W.W. II craft
EDS	Co. founded by Ross Perot
