BLDGS	Construction co. projects
BLASTS	Good times
LETHAL	"___ Weapon"
DELUXE	Like the presidential suite
GRANDE	Starbucks size
SSS	Draft org.
SSW	Chicago-to-Memphis dir.
SCRAG	Lean person
SHERE	___ Khan (tiger in "The Jungle Book")
WIDER	Dentist's request
ATWAR	Fighting
ARI	The Diamondbacks, on scoreboards
THAN	Comparison word
WINEBARS	Sipping sites
ANTHILL	Where soldiers may be busy
RESIZES	Adjusts, as a cap
LEERS	Lecherous looks
CHI	X
RHINE	River past Liechtenstein
ATLAS	Father of the Pleiades
REDGIANTS	Sunburned California baseball players?
GDS	Mdse.
SHUN	Ostracize
OARED	Propelled a lifeboat
ODELL	Newbery Medal winner Scott
NEHI	Classic pop
TAXDODGERS	California baseball players in trouble with the I.R.S.?
OVULES	Small eggs
BIZ	Hollywood, with "the"
SLEEVE	Ace place?
SCALE	Locker room item
SEEING	Involved with
CAL	"Silent" prez
ULCER	Cause of a stomachache
CSA	Civil War letters
EAT	"Mangia!"
RNA	Messenger ___
EARLS	Some noblemen
HELLSANGELS	Gang of California baseball players?
HORSEMAN	Equestrian
EVE	Adam's apple picker
GROIN	Common injury location
CLOVE	Garlic piece
CHAUCER	Writer buried at Westminster Abbey
LISSOME	Supple
ATARI	Company that made Pong
HIRES	Brings on board, in a way
ONSITE	Like some inspections
SHEILA	Down Under girl
ITALIC	It leans
TARMAC	Runway
ESPANA	Madrileño's land
ASS	Pack animal
STRAIGHTAS	What brainy California baseball players get?
STD	Regular: Abbr.
TORME	The Velvet Fog
REEDY	Like marshes
AISLE	Plane seating request
USES	Takes advantage of
SPIT	Fast-moving card game
TOEIN	Front wheel alignment
EARP	O.K. Corral figure
COMPADRES	California baseball teammates?
ALS	Hirt and Hirschfeld
WILMA	Mother of Pebbles
WED	Get a wife
EMAIL	PC letters
MDL	Start of Julius III's papacy
ELIAN	First name in 2000 news
RENTS	Lets
EYE	What a contact contacts
DACCA	Bangladesh's capital, old-style
