SHARI	Lewis with 12 Emmys
STIR	Show signs of life
HOMEMOVIE	One often seen at a family reunion
ATOMICAGE	Explosive time in history?
REF	Fairness determiner
IMFEELINGLUCKY	Phrase on a Google search button
CCUP	Medium size in a lingerie shop
CACTI	Things with sticking points
CURACAO	Ingredient in a Long Island iced tea
UTES	Relatives of the Shoshones
POD	Cacao plant feature
TARA	Ireland's Hill of ___
TILED	Like some counters
ALOHA	17-Across, Polynesian-style
ROUEN	Hundred Years' War siege site
ATSEA	Not knowing what to do
TOTEM	Result of tribesmen putting their heads together?
AUTOPILOT	Unthinking state
PUTTINGTOSLEEP	Boring the pants off
IMOFF	"Toodles!"
CREDULOUS	Dewy-eyed
REM	"Nightswimming" band
ESTAS	Those along the Ebro?
STE	Paris's ___-Chapelle church
TEHEE	Slightly amused reaction
MIMETIC	Adept at apery
MANIA	Obsession
MTDANA	Peak on the eastern edge of Yosemite Natl. Park
MODI	___ operandi
LOCALE	Quarter
LIDS	Seal creators, sometimes
AMOI	Parisian possessive
MONT	Wyo. neighbor
IVANI	14th-century Russian ruler called "the Moneybag"
WOODNYMPH	Butterfly with black-and-white eyespots
WOOS	Goes after, in a way
YEAST	You may get a rise out of it
MRWHIPPLE	Noted shopper scolder
PINETREES	Pitch sources
HAYS	Kansas' Fort ___ State University
DIGINTO	Go to work on
THUD	Sound after dropping off?
NIGERIA	OPEC member
SEEAGHOST	Get spooked, maybe
STIMULI	Action preceders
TAWNY	Like lions and leopards
LUST	One of seven in the film "Se7en"
NOSHES	Light bites
NOI	"___ insist!"
TALMUD	Ancient text
TISCH	Former CBS C.E.O.
ASTRO	Introduction to biology?
LARAS	Singer Fabian and others
MAIZE	Pale yellow
ILOSTIT	Weak excuse for missing homework
LATKE	Applesauce-topped treat
ISAAC	Biblical patriarch
GMAIL	AOL alternative
GOAD	Poke
PRO	Supportive of
OLDS	Super 88, of the 1950s and '60s
STRIKEOUT	Whiff
ETO	W.W. II inits.
EXPEL	Boot
XER	"MTV generation" member
CRAZYTALK	Hogwash
EELED	Went after some shocking things?
HOSE	One may get kinky
ODIE	Beagle in the funnies
PRESS	Juice extractor
