WRITHED	Showed great discomfort
WHISKS	Egg beaters
RACINE	County south of Milwaukee
IRENIC	Peaceful
TVSET	Show case?
HATS	They have crowns
ERA	Big time
DDT	It's been banned in the U.S. since 1972
POULTS	Turkey tots?
PENNY	Wise leader?
ORZO	Italian side dish
UDE	Ulan-___, Russia
LIBRETTO	Book
TERNATE	Like a clover leaf
SMASHER	Atom ___
HARVARD	Lamont Library locale
PERDIEM	Like some expense reimbursements
POOLS	Crawl spaces?
ICESTATIONZEBRA	1968 Rock Hudson action film
INDEXFINGER	Telephone dialer?
SINES	They can make waves
NONO	It's out of bounds
RNS	H.M.O. personnel
KNIT	Grow together
MADLY	One way to be in love
MUSKY	Like some perfume
ABOO	"Bug ___" (1999 Destiny's Child hit)
LEAH	"Dressing Rich" author Feldon
LEARN	Wise up
SEC	Heartbeat
TUBES	Sights in an intensive care unit
TORTE	Calorie-rich dessert
BETTE	"___ of Roses" (1995 adult contemporary album)
BORAX	Ingredient in artificial gems
BOSOX	Green Monster's squad
BATES	Katharine Lee ___, writer of "America the Beautiful"
BOATER	One on board an outboard
BOWER	Garden shelter
MARKOFZORRO	1940 Tyrone Power adventure film, with "The"
MILITIAS	Revolutionary War groups
ZONE	Neighborhood
GRITTY	Strongly realistic
GRIPPER	Vise
RESERVE	What things may be held in
IOWAN	Dweller along the Skunk River
RELEE	1935 Pulitzer-winning biography
ANNEX	Take over
AIKEN	Conrad who wrote "Ushant," 1952
PHD	Many a prof
POINTE	___ shoes (ballet wear)
HANDEL	"Ezio" composer
DREARY	Gray
ISIS	"Aida" chorus subject
NIGER	Where Hausa and Djerma are spoken
NINOS	Young hijos
BOAR	Adonis' undoing
BLESS	Smile upon
PET	Sitter's charge, maybe
DIKE	Big bank investment?
DOIT	Darer's cry
CLINE	"She's Got You" singer, 1962
CZAR	Powerful person
PRISONEROFZENDA	1937 Ronald Colman adventure film, with "The"
SSE	Tampa-to-Ft. Myers dir.
OCT	Time of much raking: Abbr.
FOE	One to counter
EVASION	Political tactic
COASTER	Thing under a tumbler
RESETS	Transplants
TERSELY	Without any gas?
