STOPS	Locals make them often
STALAG	Compound used in wartime
TALESE	"A Writer's Life" autobiographer, 2006
ONEACT	Like Sartre's "No Exit"
PYRRHICVICTORY	Win offset by losses
SATS	Their scores may be on transcripts
FOTO	Pic
FIREANT	Colonial stinger
OBOLI	Old Greek coins
TALKSTO	Gets on the phone, say
ORES	They're often lying in beds
NOL	___ pros. (court record abbr.)
NEONATAL	Kind of ward
OBSOLETE	Superseded
LETSPASS	Doesn't challenge
TANYA	Actress Roberts
IBAR	Bridge unit
BEBE	Nixon pal Rebozo
BLACKEYEDSUSAN	A state symbol of Maryland
ALERT	It's high when it's red
ROLE	Stage part
LOST	At sea
LEARS	1980s-'90s women's magazine
ELKS	Rockies rangers
ANOS	Períodos de 52 semanas
ASCH	"Moses" novelist
DAIS	Setting for a roaster
DOESOK	Neither nails it nor blows it
SCALP	Massage locale
SOTTED	In one's cups
GETITON	Start a scrap
THETAS	Trig symbols
TOOKTEA	Enjoyed a British tradition
OUSTER	Dispossession
CHET	Lemon on a baseball field
OUTEATS	Tops at the dinner table?
STOVES	Heat sources
SCALDING	Very hot
TATERTOT	Deep-fried mouthful
OPENNESS	Transparency
STYLES	Barbers
CAPITOL	Legislation station?
LEAVEIN	Not excise
ATEE	Done to ___
AREAMAP	Tour guide?
ATECAKE	Did as suggested in a Gershwin musical?
REDDEER	Relatives of 20-Across
EUROPE	Grand tour setting
EMINEM	2009 Grammy winner for "Relapse"
RONELY	Miss America host after Bert Parks
LENTS	Spring times
APER	One who might have an original imitation
PERMS	Salon jobs
SUMO	Heavyweights face off in it
DRNO	Crab Key villain of book and film
UVEA	Ciliary body setting
UGLI	Aptly named hybrid
TURIN	Locale shrouded in mystery?
TALE	Something to weave
ITER	Bodily channel
GERM	Basis
ASONE	Joined
NOSY	Digging for dirt?
LIMA	Succotash bit
LAPEL	Place for a small flag
GTS	Some racecars
INSP	Police dept. figure
ENEMY	Ones being shot at
