ABBR	R.B.I. or E.R.A., e.g.
ACT	What a scene is seen in
BRR	Cold evidence?
BEYONDSUSPICION	Unimpeachable
RAGAS	Eastern music
IRS	Return addressee?
IPO	Wall St. deal
RIGHTARM	Very desirous person's sacrifice?
SELAH	Psalm ender
RESETS	Zeroes
RANOFF	Split
EGG	Graded item
SAT	Posed
ETHNICCLEANSING	Heinous war crime
THIOL	Compound added to natural gas to give it an odor
SASSY	Flip
CREAMPIE	Boston specialty
MOTIF	Interior designer's creation
AGATHA	Saint whose name means "good"
TRYGOOGLINGTHIS	Mean crossword clue writer's challenge to solvers?
ILEA	Parts of gastrointestinal tracts
OAT	Meal source
HALO	Something about Mary?
NOS	People who aren't positive?
RUNSINTHEFAMILY	Gets passed down, perhaps
REDYE	Turn red, maybe
UNION	Word with card or catalog
NARD	Olden ointment
ALPH	Fictional river of verse
MAIER	Three-time skiing world champion Hermann
END	Potential pass target
FAA	Flight data recorder?: Abbr.
AFLAC	Fortune 500 company whose toll-free number ends with 23522
DISS	Major work in grad sch.
SHOAL	Spit, e.g.
RRS	Commuting choices: Abbr.
SEL	Chlorure de sodium
PICON	Molly of early stage and screen
OLEIC	___ acid
NOLTE	Best Actor nominee of 1991 and 1998
YOUHADMEATHELLO	Movie line spoken by Renée Zellweger after "Just shut up"
ARTY	Like Manhattan's East Village
ABDULLAH	Fahd's successor in Saudi Arabia
TOUR	Duty for a docent
ENSOR	"Scandalized Masks" painter, 1883
LBO	Wall St. deal
REEL	What you might wind up with
PATHS	They often cross
HORNER	Oscar-winning "Titanic" score composer James
SCAG	Heroin, slangily
DUG	Considered groovy
GRAMM	Texas senator succeeded by Cornyn
AIT	Land in the Thames
DAILYOCCURRENCE	Sunrise, say
DEBAR	Keep out
ANERA	End of ___
CUOMO	1980s-'90s New York governor
ESPOO	Neighbor of Helsinki
ENC	Cover-letter letters
RAUL	1970s tennis star Ramirez
ASS	Nitwit
BEIJINGOLYMPICS	Event starting on 08/08/08 at 08:08:08 p.m.
JUG	Kind of band
ISE	British verb ending
YDS	Field divs.
CEO	One driving a bus.?
SYD	"Charley's Aunt" star Chaplin
AROUSE	Inspire
MADMONEY	Contingency funds
RANGER	Specially trained soldier
OHS	Replies of comprehension
OGOD	Psalm starter
