BAITBUCKETS	Fishing gear
BEGS	Adjures
ALLO	Gallic greeting
ISAY	"Well!"
TIM	Title guy in an animated HBO sitcom
BEOWULF	Aid to King Hrothgar, in literature
UTURNS	Some driving school practice
CHRIS	Rock on a stage
KEPT	Didn't go stale
ECO	Friendly intro?
TOSSESIN	Adds
SWEEPEA	Comic strip adoptee
SAG	Hollywood acronym
SETOFCLUBS	Course load?
ALIFOREMAN	Like the 1974 rope-a-dope fight
GOLFRESORT	Kiawah Island, for one
ELSIETHECOW	Company mascot introduced in the 1930s that has never been put out to pasture
ELO	Group with the '79 double-platinum album "Discovery"
GLAMOURPOSE	Stance in a fashion magazine
TIL	Up to, informally
SOY	___ milk
WRIT	Bench warrant, e.g.
SEEOFF	Walk to the gate, perhaps
ETA	Hellenic character
RUNS	Baseball stat
REFS	Calls
WEPTFOR	Lamented
WINED	Got into port
BAGELS	Zeros, in sports slang
BONUSTRACK	Incentive to buy a CD, maybe
ANESTHESIA	Number of folks?
GOODREASON	Excuse
WISEACRE	One who's smart?
WAVER	Sing vibrato, say
ONOFF	Switch positions
TANIA	"Lost" actress Raymonde
TEPEE	Hides on a frame
LES	Liszt's "___ Préludes"
NEOS	Hardly traditionalists
SEVEN	___ Sisters (daughters of Atlas)
SILKROBE	Luxurious wrap
SUMO	Popular spectator sport that's not in the Olympics
SEEK	Grope for
USD	Money market currency abbr.
BIPED	The Abominable Snowman, for one
BLUEFIN	Tekka-maki sushi source
DEBAR	Block
DONKING	Promoter of the 13-Down fight
STROLLER	Babe-in-arms alternative?
ODD	"How ___ ..."
DOESNT	"___ Really Matter" (Janet Jackson song)
DIALIN	Phone headquarters
THEDUKE	John Wayne
DINK	It's hardly a smash hit
DELHI	City of 15+ million whose busiest street is Chandni Chowk
READER	Kindle, say
WEAK	Impotent
WATT	Steam engine pioneer
PFC	E-2 Marine
PAPI	Parental term of endearment, in Spain
FRAT	Frequent party planner, for short
CEDE	Opt to drop
ASS	Utter doofus
FORALLICARE	Apathetic person's words
RMS	Hosp. units
CKS	Contents of some books: Abbr.
CIO	John L. Lewis was its first pres.
IBMTHINKPAD	Laptop tested aboard the Endeavour
KAN	Home of Smallville: Abbr.
NESTINGSITE	Swift retreat?
