PITAPAT	Hearty response?
PONDS	Swimming sites
IRANI	Qum native
TITAN	Magnate
AGA	Turkish title
PASSED	Was successfully disguised (as)
AMHERST	New England college whose mascot is the Lord Jeff
TIARA	Crown
RAMPAL	Flutist Jean-Pierre
RESODS	Does more garden work, maybe
ARTURO	___ Fuente cigars
MORSEL	Choice bit
PIA	Singer Zadora
ACNE	Teen spots?
LADDS	Actresses Cheryl and Diane
HECUBA	Wife of Priam
HOUSEMEN	Bouncers
ERN	Coastal flier
CANISTERS	Jars
UTES	Western tribe
BERN	European capital
ASST	___ prof.
ORIGAMI	Japanese art form
EROICA	Beethoven's Symphony No. 3
ORATES	Emulates Hyperides
NATASHA	Cartoon comrade of Boris
STRANDRUNNERS	Fail to hit in the clutch
RYES	Bakery selections
DNA	Chain letters?
SERIOUS	On the level
INIGO	Architect Jones
EDYS	Popular ice cream
ISNT	Rodgers and Hammerstein's "___ It Kinda Fun?"
SINGERANDREA	Bocelli, of the Italian opera
GAGRULE	Debate stopper
ADAK	Aleutian island
SEEMS	Is apparently
MIDDAY	Hot time?
ADS	Show stoppers?
ISOLDE	Wagner soprano
ELAL	Mideast carrier
SMITTEN	In love
TREY	Four's inferior
ELSE	If not
NEST	It may go out on a limb
PING	Engine sound
PACTS	Agreements
IGLOO	Northern residence
NOOIL	Reason for engine trouble, perhaps
TAG	Kid's game
ADD	Put in
ALP	Any of the Dolomites
PROFIT	Learn
EDERLE	Gertrude who swam the English Channel
AGORA	Center of Athens, with "the"
ADE	Summer refreshment
DONNAKARANDRESS	High-priced designer wear
NEIN	Turndown in Munich
NOMDE	___ plume
ANORAKS	Arctic wear
AULD	Part of a seasonal song
CLOUDED	Like some crystal balls
EDGE	Beat, but barely
EON	Time on end
LOU	Mrs. Herbert Hoover
ASYET	So far
TOILED	Worked
LIMOS	Sites of some minibars
LAMBDA	Sorority letter
SATES	Fills up
FLAY	Scold severely
ASTA	"The Thin Man" role
SOLE	Lemon ___
GRANDRAPIDS	Midwest city famous for furniture manufacturing
ROAN	Horse color
PINE	Long
ATAT	Rat-___
ACERBIC	Biting
TODIE	Gus Van Sant film "___ For"
AMUSE	Divert
TAPER	Part of a Christmas decoration
GEOM	Euclid's element?: Abbr.
GARDEN	Arboretum
EATIT	Suffer an embarrassing defeat, slangily
TACOMA	Washington locale
ASA	Botanist Gray
IWASA	"___ Teen-age Werewolf" (1957 flick)
IBAR	Support beam
WERE	As it ___
ARME	French weapon
STALENESS	It may leave a bad taste
ABA	Where Dr. J first operated professionally
ARCH	Cunning
KEN	Understanding
EASEDUP	Abated
ELS	2002 British Open champion
BERTRANDRUSSELL	Noted 20th-century mathematician, philosopher and pacifist
AARDVARK	First animal?
USAF	Insignia on some fighters
LENDL	Three-time U.S. Open champion
ARISE	Happen
ARMADA	Fleet
ACS	Summer coolers, for short
ESP	Psi category
PRESLEY	One with many imitators
BEER	Miller, for one
REELERS	Fishers, at times
STEN	British rifle
HATPIN	Hair attachment
TRAVIS	Country singer Randy
PARENT	Source
INTROS	Preliminaries
REI	Defendants, in old law
ESSAYS	Lamb products
ENDTO	Put an ___
ORDER	Stability
FRANDRESCHER	1990's sitcom star
REAPS	Clears the field
HADTO	Couldn't not
ELIEL	Architect Saarinen
RINSE	Salon activity
ASSN	84-Across, e.g.: Abbr.
AVES	Welcomes
SERA	Evening in Rome
STAY	Collar support
VERA	Aloe ___
ARLO	Woody's son
ARTLESS	Naive
ALI	Thrilla in Manila participant
VETERANDRIVER	Longtime Indy 500 competitor, say
REO	Classic car
INA	Suffix with concert
ALADDIN	1992 Disney hit
DOT	Part of a URL
ERASER	It may help when changing your mind
ELNINO	Current event?
PEYOTES	Cacti used for hallucinogens
SAYSOK	Agrees
ROASTS	Honors, in a way
SYSTOLE	Part of a heartbeat
