SLAM	Close with a bang
SCOTIA	Nova ___, Canada
LAMENT	Bemoan
APACHE	Cochise or Geronimo
MONTE	Del ___ Foods
BAMA	Crimson Tide, to fans
BALI	Storied isle near Java
ALEC	Actor Baldwin
MORPH	Undergo transformation, as one image into another
ANTLERS	Stag's pride
GAIN	Loss's opposite
GOAT	Billy or nanny
ANJELICA	Oscar winner Huston
ITA	Make ___ habit
NOR	Neither's partner
CAPO	Aria da ___
SALON	Establishment with hair dryers
SANELY	In a rational way
ONTO	Hip about
OMAN	Muscat is its capital
ALERT	Warning
AJAR	Slightly open, as a door
TECTONICPLATE	Shifting piece of the earth's crust
ORAL	___ vaccine
AREA	General location
INHERE	Exist naturally
HER	___ Royal Highness
LOP	Cut (off), as with a sweeping motion
ODES	Poems of praise
PERT	Bouncy
ATE	Supped
ALTA	___Vista (search engine)
TIER	Stadium level
ANGLE	Viewpoint
RESIDE	Dwell
SUMP	Drainage pit
FLYINGSAUCER	Extraterrestrial's transportation
FEAT	Impressive act
GODS	Dwellers on Mount Olympus
ALOE	Lotion ingredient
AFRO	Hardly a close-cut hairdo
LIAR	Fabricator
OFFSHORE	Not on land, as an oil rig
EGO	Psychology 101 topic
MAST	Sail holder
FIFAWORLDCUP	Quadrennial soccer championship
WEAL	Prosperity
ODDLOTS	Stock in nonstandard quantities
CAPONE	Gangster known as Scarface
USED	Exploited
RAFTED	Traveled with Huck Finn, e.g.
ESAS	Those, in Tijuana
CHI	___-Town (Cubbies' home)
CHOKER	Snug necklace
HEWING	Felling
INLETS	Small bays
ORS	Surgeons' workplaces, for short
ADS	Sponsors' spots
SYRIA	Neighbor of Israel
PEAHEN	Showy cock's object of affection
ABOVE	Over
HOLLYWOODBOWL	Los Angeles Philharmonic summer venue
OPED	___ page (newspaper part)
WITS	Jokesters
OOHS	Sounds of amazement
FLOP	Dud
FDA	Prescription safety org.
LAX	Too permissive
ORION	The Hunter constellation
OKIE	Merle Haggard's "___ From Muskogee"
DARE	"I bet you won't go bungee jumping," e.g.
TITHE	Give 10% to one's church
VENT	A/C opening
AXED	Gave the boot
SASS	Impudence
ERGS	Energy output units
