RATOUT	Fink on
REFRESH	Internet browser button
AVIANCA	Airline to Bogotá
TURNSIN	Hits the sack
OLEO	Pan lubricant
USING	Not abstinent
TEN	Our base
BRITT	___ Reid (the Green Hornet)
BEEN	"___ there"
RAITT	John of Broadway's "Carousel"
ISRAELI	Acre resident
TOOTLERS	Fife players
TNN	Spike TV, once
ADE	Suffix with cannon
ARMINTHESHOT	Evidence of a passer-by in a photo?
DOESTOO	Playground retort
END	Cut off
HMO	Coverage grp.
HEADINTHEHOLE	Ostrich's pose?
MANATEES	Everglades swimmers
OUTSOLD	Beat in the market
EVULSE	Yank out
SEASON	Add zip to
SHA	"Get a Job" syllable
RONDEAU	Lyric poem
DIRT	Lowdown
FIREINTHEIRON	Result of a laundry room short?
TREATY	___ of Paris
MEDIANT	Third tone of a musical scale
RANON	Yakked, yakked, yakked …
RANTAT	Assault verbally
DIS	Run down
DAN	Vice president after George
RDAS	Vitamin amts.
ENS	Nav. rank
GRE	Sr.'s test
RENE	1968 Peace Nobelist Cassin
TEL	Rolodex no.
ANT	Myrmecologist's interest
TITO	Josip Broz, familiarly
SCI	Ecol., e.g.
EAST	Magi's origin
SHEP	Name for a farm dog
TEAL	Blue shade
LEANTOS	Simple abodes
ADAMS	Hemingway's "The Nick ___ Stories"
SIMI	___ Valley, Calif.
NEL	"___ Blu Dipinto di Blu"
HANDINTHEBIRD	What a turkey stuffer has?
DOOR	Kind of prize
INNIS	Civil-rights leader Roy
BROWSE	Wander in a library
HOISTED	Jacked up
SOMA	Popular block puzzle first put out in 1969
ONEYEAR	Like many leases
SAKE	Drink often served hot
KIWI	Aussie's neighbor
MOHS	___ scale
SIMON	"American Idol" judge
SNIP	Unrespectful sort
IONA	Macbeth's burial place
MUDINTHESTICK	Off-road vehicle gearshift problem?
PLOW	Team's burden
WHEAT	Eared plant
MISTIME	Do at the wrong moment
TONI	Brand of home perm kits
NOURISH	Strengthen
SHES	Cows and sows
HAYINTHEROLL	Sandwich for a horse?
WHOSWHO	Group of notables
ONRICE	Way to serve chop suey
AHAB	Jezebel's husband
ABET	Look out for, say
BEST	Oscar title starter
IND	Row C, maybe: Abbr.
SHAD	Cousin of a herring
DEES	G.P.A. spoilers
SEN	One with a six-yr. position
IONS	Solar wind particles
SPREE	Toot
OBE	U.K. bestowal
PAID	Coughed up
DEMI	___-pointe (ballet position)
EYEWEAR	Spectacles
WRENS	Small songsters
TIPPLES	Has a few
PHDS	Many college profs
NEWSIER	More informative
WEED	Marijuana
TILL	Where bills go
LOIS	With 85-Down, old DC Comics spinoff
LANE	See 84-Down
RHETT	Clark role
ATME	Tommy Dorsey hit "Oh, Look ___ Now"
ACREAGES	Farmers' spreads
NSEC	Tiny bit of time: Abbr.
COCKTAIL	Alexander, e.g.
COASTED	Took it easy
STRICT	Unbending
THAT	This isn't it
ACHIEST	Maximally sore
AIRFARE	Expense report item
SEATTLE	Grunge rock hub
NOSEINTHESOCK	Test for a needed hosiery change?
SEEINTO	X-ray
OCARINA	Egg-shaped instrument
CORONET	Noble headwear
KEENERS	Lamenting ones
IRE	Tee off
DEHISCE	Burst open
IRA	Bank offering, for short
SERA	Hospital supply
COE	Iowa college
RESP	Defendant at law: Abbr.
PATH	Way to go
AER	Relative of atmo-
KEW	Locale in lilac-time, in an Alfred Noyes poem
WEDTO	United with
ITT	Old telecom conglomerate
THEIR	Churchill's "___ Finest Hour"
ARE	Don't just seem
FATA	___ morgana (mirage)
TRA	Singsong syllable
TIETAC	Haberdashery item
TIER	Seating datum
AND	What's more
HERON	Marsh wader
ELSE	Additionally
AGITATO	Hurried, on a score
AAH	It may be said to a doctor
SANDINTHELINE	Cause of a beach house phone glitch?
SPF	Lotion letters
HET	Plenty worked (up)
RECHALL	Place to play Ping-Pong
PITTED	Like some dates
EISNER	Longtime Disney chief
ESK	Many a dogsled driver: Abbr.
HEL	Daughter of Loki, in Norse myth
FLOOR	Blow away
TREATS	Halloween bagful
