BETAS	Buggy versions, maybe
BOB	Rise and fall repeatedly
EVE	Big day preceder
TED	Red Sox legend Williams
ARRAIGN	Call into court
SPOORED	Followed the game
ACRE	Big yard area
ASKEW	Crooked
CSA	Rebel org.
RENATA	Soprano Tebaldi
EDDIED	Went around in circles, say
PSHAWS	Expresses disbelief
PRE	Opposite of post-
SOD	Landscaper's roll
HARARE	Zimbabwe's capital
ADOBES	Pueblo structures
WELCH	Army-McCarthy hearings figure
SOL	Roman sun god
CBS	"The Big Bang Theory" network
COMMANDEERS	"Borrows" peremptorily
BABAR	Founder of Celesteville, in children's lit
STAND	Roadside shop
OVERPASSED	Went beyond
ACNE	Indication of teen stress, maybe
ROADEO	Truck driving competition
OAT	Muesli tidbit
BEDROCKANDBEDROLL	Factors to consider while trying to sleep on a campout?
BRR	"Turn up the heat!"
MBA	Upper mgmt. aspirant
AONE	Superior
AIR	You might come up for this
ABC	Epitome of ease
OMAN	Arabian Peninsula sultanate
OZARK	Missouri's ___ Trail
FIREWATERFIREHAZARD	What the marshal declared the moonshiner's shed to be?
FRUIT	Common dessert ingredient
ALEC	Tess's literary seducer
FORKS	Offers a few directions?
IRAE	"Dies ___" (Latin hymn)
ABACK	By surprise
LARGE	L on a T?
LIMA	City where TV's "Glee" is set
ANON	In a moment
LAD	A. E. Housman's "A Shropshire ___"
ORES	Smelted substances
BAN	Preventive measure
INUNDATE	Submerge
ABASH	Discountenance
TURNEDTO	Called upon
BRA	Upper support
BAROFSOAP	Fragrant cake
GARDEN	Attend to a plot
GUN	Round container
EYDIE	Singer Gorme
NEST	Cheeper lodging?
MOI	"Pardonnez-___!"
BUCKNAKEDBUCKEYE	Ohio State athlete who forgot his uniform?
KOALA	Eucalyptus eater
NATO	Defense grp. headquartered in Belgium
DRUG	Pharmacopoeia selection
BADCHECK	It bounces
ANTIWAR	Fighting fighting
IAGO	Shakespearean character who says "I am not what I am"
WSW	Nashville-to-Memphis dir.
OARS	Coxswain's lack
RANK	Relative standing
EDS	Publishing hirees, for short
ASSN	Part of P.T.A.: Abbr.
ATO	From ___ Z
MUD	Name for a persona non grata
MIXED	Diverse
BRIT	One who puts U in disfavor?
BELA	Composer Bartók
BIGWHEELOFBIGCHEESE	C.E.O.'s tricycle?
BEREA	Kentucky college
IDEALGASLAW	pV = nRT, to physicists
ENID	Geraint's wife in "Idylls of the King"
BIRD	Aircraft, informally
HUNKY	Like a Chippendales dancer
ELM	Massachusetts' state tree
REDO	Start over on
RIDS	Frees (of)
DNA	Chain of life?
SIX	Local news hour
HULL	Keel's place
IRE	Dudgeon
ACTI	Prologue follower
AWASH	Covered
COM	Business address ender
MORE	Request upon finishing
MEADE	Army of the Potomac commander, 1863-65
ENMASSE	As a group
SHARK	Pool hall pro
SEPT	Quatre + trois
EXES	Former union members?
DEADWOODDEADDUCK	Wild Bill Hickok holding his aces and eights?
DAISY	1989 Oscar-winning title role for Jessica Tandy
DREW	Took a card
USPS	Census form deliverer: Abbr.
HEX	Spell
SALAAM	Respectful bow
RAP	Criminal charge
SKYSCAPE	Picture that shows you what's up?
SPANGLE	Sequin
COLORER	Crayon wielder
GIS	Platoon members, briefly
VIED	Competed
VALUES	Moral standards
INTENT	Focused
AMP	Unit of current
ARABLE	Fit for cultivation
MAYBES	Invitees who didn't R.S.V.P., say
PORTS	Places to plug in peripherals
TRASHCANWETRASHTALK	Garbage receptacle that you and I insult?
TRAMP	Cargo vessel with no fixed route
ROXIE	___ Hart, showgirl in "Chicago"
CALVE	Deliver at a farm
TWA	Bygone rival of Delta
HOUND	Harass nonstop
THEA	"Take ___ Train"
ROSY	Promising good things
ALT	Music genre prefix
WAY	Ancient Rome's Appian ___
OHNO	"What a shame!"
AXL	Rose of rock
BLUECRABBLUEGRASS	"That high lonesome sound," as played by Atlantic crustaceans?
BAT	Be up
CUE	Ham helper
RED	Spectrum segment
LOT	Auction purchase
AWE	What the sublime inspires
SIC	Verbatim quote addendum, possibly
SST	J.F.K. arrival of old
MIA	Uma's "Pulp Fiction" role
AVENUE	Many a Monopoly property
LEONALEWIS	Singer of the 2008 #1 hit "Bleeding Love"
PEW	Seat facing the altar
TESTED	Worked on in the lab
ESTD	Cornerstone abbr.
ERECT	Put up
