ROAST	Swelter
ROVE	Be peripatetic
ONEA	Draftable
ACTS	New Testament book
SUBTOTAL	Pretax number
TEL	Business card abbr.
GIBB	Andy who sang "Shadow Dancing"
GONERS	Lame ducks
ILKA	Actress Chase
BEELINES	Direct routes
BOTCH	Mess up
EDGE	Racer's need
ESCAPE	Breakout
DELI	New York's Carnegie ___
GEAR	Driver's choice
ENDS	Means' justifier
ONCUE	At the right time
OLEO	Yellow stick
SEEN	Exposed
VETBLANKET	What a doctor uses to keep Fido warm?
AVA	Ex of Mickey, Artie and Frank
CLAD	Dressed
EAST	How Phileas Fogg traveled
VEALCHAIRS	Where calves are stretched out?
HOLDSWAY	Rule
OMAR	All-Star shortstop Vizquel
METEORIC	Fast, as a rise
IHOP	Noted restaurant chain
ACUTE	Like some triangles
ADVIL	Motrin rival
CAIRO	City on the Nile
UMASS	Minutemen of college sports
SAN	___ Lorenzo
ARENA	Field of conflict
LEAPS	Does a ballonné
AFOOT	In progress
PAWNS	They can be taken en passant
SASSY	Cheeky
DAMATO	Former New York senator
ODD	Roulette bet
REED	Mouthpiece attachment
ETS	Venusians, e.g.
FAA	Air safety grp.
VIALEDVESTSHOWS	Exhibits of suit parts in small glass containers?
VITTORIO	Film director De Sica
HORSHACK	Sitcom friend of Barbarino
IRS	Form letters?
ODIN	Frigg's husband
SWOONS	Blacks out
LOSER	Schlemiel
EMERIL	Big name on the Food Network
TAG	It's game
GHETTO	___ blaster
ARTSY	Pretentious
MITT	Rawlings product
TOGAS	Frat party outfits, perhaps
HAYS	Actor Robert of "Airplane!"
ARA	Constellation near Scorpius
VINECOOLER	Refrigerator for ivy?
VILA	Handyman Bob
IBEX	Wild goat
NAVE	Basilica part
LENS	Cinematographer's concern
HEAP	Multitude
ERMA	Columnist Bombeck
ABET	Help
POSE	Sit (for)
IBAR	Bridge support
GRETAGARBO	Actress who's the inspiration for this puzzle's theme?
GAS	Beetle juice?
LEVI	___ P. Morton (1890's veep)
AINT	Is not on the street?
ACMES	Peaks
AXEL	Jump on the ice
SOSO	Fair
SKATE	Go blading
