SATCHEL	Paper carrier
SIC	Attack signal
ANA	Santa ___
TAT	Bit of art on a chest, in slang
CPAS	Balancing pros
HILO	Hawaii county seat
ELOPHTRON	Toymaking center?
LEGREST	Recliner feature
ACTEDUP	Raised Cain
ABCNEWS	"Nightline" presenter
CROON	Sing like Andy Williams or Russ Columbo
TOMS	___ River, N.J.
EMP	Titus or Tiberius: Abbr.
DIAPER	Something needed for a change
UNSURE	Dubious
PESTER	Nag
INAPILE	Heaped together
BROMINE	Element used in fire retardants
CATALOG	Something made to order?
COMPASS	With 55-Across, direction indicator
SOPRANOS	Women who get high?
ALE	It may be red or brown
PUT	Lay
EKG	Med. readout
ETCS	Series conclusions: Abbr.
KNOB	Remote ancestor?
GILA	Arizona's ___ Mountains
HELEN	Euripides play or its heroine
HERE	"Catch!"
HASTEN	Get the lead out
TNIOPTSEW	Its motto is "Duty, Honor, Country"
OBRIEN	Pat of "Knute Rockne All American"
PERSE	As such
PARER	Apple gadget
PRUNE	Trim, as a topiary
COLBERT	"The ___ Report"
SSRS	Cold war grp.
SOUTHPARK	Long-running TV series set in Colorado
SBARRO	Fast-food chain whose logo features a modified Italian flag
OUTATE	Defeated, as at a Nathan's hot dog contest
ADDS	Puts on
TIEA	How to ___ knot (Boy Scout's lesson)
ENRY	One of eight English kings, to a 45-Across
ISNT	"___ It Time" (1977 hit)
TEETERS	Could fall either way
TUNEDIN	Hip (to)
TSTRAPS	Features of some sandals
SPREE	Jag
SLIMES	Slanders really badly
PAMELA	Bobby's wife on "Dallas"
RIFLED	Ransacked
EASTENDER	Cockney, e.g.
ARE	"Right you ___!"
LAIN	Been abed
BERTH	Ship's resting place
BESOS	Spanish kisses
SAY	"I have an idea ..."
IMF	Global finance org.
PETERPAN	Story that begins "All children, except one, grow up"
PONE	Soul food side dish
AMIE	Le Havre honey
NICE	"Well done!"
MELROSE	Place name popular in the 1990s
RAN	Split
AAMILNE	"Mr. Pim Passes By" playwright
LIT	Pie-eyed
NEE	Name tag?
ERR	Give all for one or one for all, e.g.?
ELEANOR	"The Lion in Winter" queen
PRICIER	Like penthouse suites vis-à-vis other apartments, typically
SADNESS	Melancholy
SKEETER	Picnic pest, informally
