RECAPS	They lack details
RABI	1944 Physics Nobelist I. I. ___
ELEM	Kr or K, say
CLAD	Decent
AUTO	Taurus or Aries
PRIZE	Competition incentive
SETIN	Take root
CHAPTER	Writer's block?
CLOG	Flow stopper
HADJ	Muslim pilgrimage
AVOUCH	Guarantee
PERSPIRE	Produce beads, perhaps
TROTOUT	Introduce
ENUF	Ample, informally
RESIN	Pine product
UTAHAN	Jazz fan, most likely
UNHEARDOF	Without precedent
TEE	Driver's thingie
APRS	Loan figs.
HAZYSTACKS	Result of setting off a smoke bomb in a library?
ALONE	Helpless?
NIGER	Francophone land
ALLURE	It, so to speak
LAVERNE	Half of a former sitcom duo
NEPALI	Yeti sighter
BEATIT	"Get lost!"
ODOROUS	Redolent
HERZOG	Saul Bellow book
IMDOZINGJUSTFINE	Recovering insomniac's declaration?
NOLI	___ me tangere (touch-me-not)
NEG	Photog's item
SYNE	Annual song ender
ENO	Brian of Roxy Music
CPO	U.S.N. noncom
NEAT	Straight up or straightened up
TEA	It's served in spots
SER	Talk for the flock: Abbr.
APPT	Datebook abbr.
ACMES	Top spots
PRADO	Home of "La Maja desnuda"
PANAM	Company with a blue globe logo
TZU	Lao-___
LITHIUM	Antidepressant medicine
ISLA	Cuba, por ejemplo
THAI	Asian tongue
MESHED	Like some gears
GREAT	Terrific
AMNESTY	Forgiveness of a sort
CRAZYFISH	What loons feed on?
YAHOOS	Louts
FLANS	Some pastries
RTES	Hwys.
SHELL	Part of some pastries
DAMAGE	Cost, in slang
GAGE	Revolutionary War general Thomas ___
EAST	Needle point?
MANUAL	Repairer's read
LADE	Put a burden on
DIRNDL	Gathered skirt
SHOO	"Get lost!"
OLDISH	Not very recent
NCAA	Bowl org.
EDA	Author LeShan
HAWAII	Union latecomer
WETBAR	Suite amenity
SHELF	Book keeper
SWERVE	Turn abruptly
EKGS	Ticker tapes?: Abbr.
SOMEONE	Not nobody
EMBARGO	Economic warfare tactic
REWELD	Fix up the joint?
ETE	One of les saisons
ASSET	Plus
AZALEA	Spring bloomer
MOSTWANTEDLISZT	Best recording of the "Hungarian Rhapsodies"?
WINES	Sauce ingredients, sometimes
ANEMIC	Feeble
SPENT	Wiped out
SLOBS	Maid hirers, maybe
SHAD	Roe source
LOLA	"Run ___ Run" (1998 film)
ORANGEADZE	Colorful wood cutter?
BINDER	It may have three rings
SPAYING	Vet's job
ISUZU	Rodeo producer
NOLAN	Ryan nicknamed the Ryan Express
GLARE	Look daggers
HORA	Circle dance
PANEL	Cartoon part
POTENTATE	High-muck-a-muck
VACHEL	Poet Lindsay
ACRO	Phobia starter
CHER	"Mask" star
SOL	Heat source, in Huelva
ALAR	Banned apple application
OREM	Home to some 14-Acrosses
TECH	Kind of support
TIMEZONE	Atlantic or Pacific
NEBULA	Crab ___
BCD	A train?
DANGIT	"Phooey!"
IRA	Portfolio part, in brief
SISI	Spanish ayes
SODAPOP	Crush, e.g.
RENTACZAR	Service offering private engagements with a despot?
NTWT	Product package abbr.
GOREN	"Contract Bridge for Beginners" author
NTH	Degree in math?
COMFORT	Ease
FLYROD	Angler's equipment
DUNE	Buggy terrain
ACE	Sail through
ASAMI	"Likewise"
CANON	Minolta alternative
ANTZ	1998 animated film
ZELIG	1983 pseudo-documentary
DEL	Chesapeake Canal locale: Abbr.
WWW	U.R.L. part
WHARF	It's a shore thing
WEBER	Artist Max
SAAB	Swedish import
BRAS	Support group?
THELAZYOFTHELAND	National loafers?
LARA	Superman's mother
OTRA	Other, in Oaxaca
FEET	They may be shuffled
LUGE	Racer on ice
ASIS	Closeout caveat
NEON	It's a gas
DRNO	Villain played by Joseph Wiseman
ANDREA	Architect Palladio
ERS	Trauma ctrs.
LAPORTE	Indiana county or its seat
ABUSER	Bully, e.g.
MOZART	"Cosi fan tutte" composer
IRONORE	Mined find
REGION	Belt
INESSE	Existing
GAPEDAT	Eyeballed
FRESNO	San Joaquin Valley city
