BRA	Victoria's Secret product
BRIDAL	Kind of gown
REMOVE	Eliminate
ACACIA	Decorative tree
HAIL	It's hard on the head
HERO	Submarine
ADELA	Writer ___ Rogers St. Johns
INALL	With everything counted
LADYDAY	Nickname for Billie Holiday
ATEASE	Sergeant's command
AUTO	Model T, e.g.
TROOP	Scouting group
EARDRUM	It might get busted at a concert
ANT	Little scurrier
SUE	Common girl's middle name
ESS	Road curve
REC	___ room (place for play)
EDNA	Actress Best
URANUS	Neighbor of Neptune
IMA	The Monkees' "___ Believer"
READ	Librarian's advice
TORTES	Cakes with ground nuts
DOCHOLLYWOOD	1991 Michael J. Fox film
HASH	Corned beef dish
WARGOD	Mars, for one
AVIA	Sneakers brand
ALDA	Swit's TV co-star
PRAYS	Says grace
AHOY	Ship-to-shore line?
YORE	Time long ago
SHEA	Stadium near the Grand Central Parkway
LEAST	Smallest
TARP	Diamond cover
ARF	Sandy's bark
FIRM	Not negotiable
UHOH	"This is bad!"
HAPPYGILMORE	1996 Adam Sandler film
PAYS	Compensates
PHOEBE	"Friends" character
LEER	Lascivious look
AWE	Reverence
AGES	Years and years
WREN	Songbird
EURO	Dollar rival
RAH	Bowl game cheer
ORE	Miner's find
YEA	Thumbs-up vote
GRUMPYOLDMEN	1993 Walter Matthau film
MOBSTER	Cosa Nostra member
LEAPING	Up in the air?
NEAL	Oscar-winner Patricia
EERO	Architect Saarinen
SEE	___-through
REACH	Boxer's stat
ALLEGE	Assert without proof
COOLER	Picnic carrying case
HEWING	Chopping
SNOBS	They have upturned noses
SLANG	Teen talk, often
BASS	River fish
SYRIA	Damascus's land
SHALL	"We ___ Overcome"
ALOE	Skin cream ingredient
SLEEPYHOLLOW	1999 Johnny Depp film
ELSE	Otherwise
ONES	Small bills
MORTAL	Human
MAG	Cosmo or GQ, e.g.
OLE	Bullring yell
RIO	Carnival city
IRAN	Neighbor of Turkmenistan
ELI	Inventor Whitney
ALIENS	Border patrol concern
NILE	Khartoum's river
GEN	___-Xers (boomers' kids)
GEORGE	Gracie's comedy partner
GALS	Some square dancers
ERG	Work unit
