FAKE	Counterfeit
FATAL	"___ Attraction"
ARUBA	Oranjestad's island
KARAT	Gold standard
ELK	Kiwanian colleague
LAMBS	Innocent ones
LAYERING	Dress option for cold weather
ANTE	Start the pot
MNO	Telephonic 6
BIRCH	Canoe material
SETOUT	Begin a journey
FUME	Get steamed up
FIDELCASTOR	Oily Cuban?
UBER	Over in Germany
MALI	Algeria neighbor
ERIE	War of 1812 battle site
ARAL	Landlocked ___ Sea
ANNIE	Hall of fame
IBAR	Construction support
TURKEYTORT	Wrongful act in Ankara?
EVER	At any time
DELI	Prosciutto purveyor
ABA	Letters of attorney?
VEE	Two-finger sign
COTERIE	Exclusive group
TRIM	Well-kept
LATHER	State of agitation
HELENOFTORY	Conservative beauty?
CHURL	Surly sort
CATERED	Handled a reception
ERICA	Longtime Susan Lucci role
CURT	Brusque
TICKLE	Make pink?
KNEE	Prayer joint?
LIAR	Comeback to an accusation
EARN	Pull down
DIAL	Decoder feature
DAMP	Drizzly
ICET	"Body Count" rapper
ARAB	Burnoose wearer
NUTS	Loony
SEER	Tea leaf reader
MANIA	Looniness
ACRE	Part of a plot
GREER	Garson of Hollywood
REASONER	Logician
SEAR	Cauterize
MEANS	Wherewithal
SALT	Skeptic's grain
TREE	Leaves home?
TERN	Sea swallow
PTBOAT	J.F.K.'s 109
TOOLED	Drove (around)
ERATO	Sister of Clio
TEND	Keep an eye on
FLOOD	Johnstown disaster
OPERA	"Norma," for one
SERAPE	Chihuahua wrap
AGREE	See eye to eye
POPPA	"Where's ___?" (George Segal movie)
EDSEL	Collectible car
FLATTOP	Rarely seen haircut nowadays
FLAW	Blemish
LOLA	Name spelled out in a 1970 hit
AGAR	Seaweed substance
DON	Syndicate head
DOSE	Teaspoon or tablet, say
GOD	Neptune or Jupiter
LOGO	Corporate image
LEMONDORPS	Dud villages?
MAT	Automobile accessory
OPT	Be decisive
ALAR	Old apple spray
ERASE	Clear the slate
PEPE	Le Pew of cartoons
WARY	On one's guard
DATER	Library device
TEAL	Shade of blue
