APPOINTS	Puts in a seat
ASISAID	"Again ..."
PENALTYDECLINED	Opposing team's turndown
PLANTINONESMIND	Suggest subliminally, perhaps
OLLAS	Cantina cookware
ISLA	Gran Bretaña, e.g.
NOP	Start of the second half?
TURNONTO	Make like
STOOLIE	Sting participant
PRESSED	Like vinyl records
PHASES	First and last quarters, e.g.
ROBED	Like many judges
ELIS	Participants in the annual Safety Dance
SYL	One of four in Mississippi: Abbr.
SWIMSUITEDITION	Revealing issue
EATONESHEARTOUT	Pine
DRYROTS	Some building weakeners
SELLSOUT	Fills all the seats for
HOLYWAR	Faith-based initiative?
INALLPROBABILITY	Most likely
BILES	They were black and yellow in old medicine
SANAA	Capital 7,200 feet above sea level
NOISES	Poltergeist output
MOR	It's south of Sp.
ALTS	Tree line stats.
POLLED	Sought the opinions of, in a way
PRIDE	Tough thing to swallow
ASNO	___ other (matchlessly)
ARLOS	Jimmy Johnson title comics character and others
ITI	"Is ___?"
ERNIES	Keebler's head elf and others
EMIRS	10-Down commanders
CRUET	Dressing holder
CRIES	"Help!" and such
DYNAMITES	Levels with sticks?
ASTRA	Senate stars?
ARLISS	Sitcom sports agent Michaels
ALLOR	___ nothing
DOSIDO	What goes around at a hoedown?
ALIOTH	Big Dipper star
APRESSKI	Social time at the lodge
CENTRE	Bath hub?
CAESURA	Bard's break
APPLESEED	Sowing pioneer
ALALA	Brown-tinged Hawaiian crow
PANELED	Like some station wagons
DESISTS	Cuts it out
ACERS	Court whizzes
CLAROS	Some smokes
COASTS	Doesn't work hard
DAE	Peace Nobelist Kim ___ Jung
ELSA	Italian novelist Morante
MOANER	Bellyacher
MERLS	Blackbirds
DIRS	47-Across personnel: Abbr.
DODGE	Skirt
SIM	Screened city dweller?
NEALES	Tennis's Fraser and others
NEUE	___ Zürcher Zeitung (leading Swiss daily)
GOTTI	High-profile defendant of 1992
GUNS	Magazine contents
UNIVERSALSTUDIOS	"Dracula" and "Frankenstein" producer
VAR	Dictionary abbr.
TIS	"___ so appalling - it exhilarates": Dickinson
RENAULT	Clio maker
EKINGOUT	Struggling to get
ADDRESS	What MapQuest requests
DISSENTS	Some opinions
