ATLAS	Rand McNally offering
ACRE	Good-size field
THAT	"How 'bout ___?!"
LABS	Chem classes
ALB	Vatican vestment
SKIING	Downhiller's sport
SISI	Señor's emphatic yes
SEEN	Witnessed
IDA	Actress Lupino
SERGIO	Italian film director Leone
INSYNC	On the same wavelength
ANTE	Poker stake
ATISSUE	Under debate
NASH	Ogden who wrote light verse
TRIO	Duet plus one
EASE	Simplicity
CHALK	It's rubbed on a cue tip
EDEN	Garden with forbidden fruit
TARA	"Gone With the Wind" plantation
RABBITEARS	Indoor antenna
TODATE	So far
ISIS	Egyptian goddess
ETS	UFO crew
ION	Charged particle
GYMSHOE	Sneaker
MEOWS	Cat chat
END	Swan song
ENS	U.S.N.A. grad
HINES	"Jelly's Last Jam" dancer Gregory ___
HOPPERS	What the starts of 17-, 26-, 44- and 58-Across all are
KANGAROOCOURT	Conductor of a sham trial
KNOPF	Big name in book publishing
ANVIL	Blacksmith's block
RAE	Sally Field's "Norma ___"
RAZOR	Gillette product
TREYS	Deuce beaters
INNS	Ramadas and such
ITS	"___ show time!"
TAP	Spigot
WEARY	Pooped out
YDS	Football gains: Abbr.
TOV	"Mazel ___!"
KEEPERS	Zoo bosses
KOALA	Furry marsupial
EEK	Comics shriek
REESES	___ Peanut Butter Cups
ZED	A's opposite, in England
SPIRO	Former veep Agnew
RESPECT	Look up to
EEE	Extra-wide, at the shoe store
JOYS	Sorrows' opposites
JEB	One of the Bushes
FLEAMARKETERS	Sellers in stalls
MATTER	Mean something
ATHOME	Where telecommuters work
TURTLE	Terrapin, e.g.
SLATS	Mattress supports
SUB	Sizable sandwich
WARPATH	On the ___ (preparing for battle)
WADS	Rolls of bills
ALIT	Hit the ground
ROSE	Flower for Valentine's Day
EER	Poet's "eternally"
EDAM	Red-wrapped Dutch cheese
TAI	Mai ___ cocktail
TOGA	Roman robe
ALAS	Word of woe
ISLE	Castaway's locale
ALOE	Skin soother
TOADSTOOLS	Inedible mushrooms
AMA	Doc bloc: Abbr.
OER	"___ the ramparts ..."
DISC	The "D" in CD
EMMA	Jane Austen classic
LEGAL	Paper size
STET	Editor's "let it stand"
REAM	Paper purchase
ERASE	Clear the boards
