BALM	Unguent
BOLD	Barefaced
ALAR	Banned spray
LIME	Greenish
MOSAIC	Subway tunnel art, maybe
PLEA	A prisoner may enter one
PHILOFAX	Communication from an Alexandrian philosopher?
LEDON	Gave false hopes
ELECTRA	Sophocles subject
ADAK	One of the Aleutians
AZOV	Russia's Sea of ___
ADS	Spots
ZENOPHOBIA	Fear of an ancient Greek philosopher?
OKAPI	Rain forest ruminant
VEGAN	Non-meat-eater
OLIO	Omnium-gatherum
HELDA	___ grudge (harbored resentment)
ALEPH	Beth's preceder
DEKE	Slayton of Apollo 18
LAMS	Thrashes
IDEAL	Perfectionist's aim
SNAG	Progress impeder
DREADLOCKES	Fear an English philosopher's family?
DDE	W.W. II gen.
SIREN	Mythical bird-woman
OPA	40's war agcy.
IDONT	"___ believe it!"
PIPPIN	1972 Broadway debut
PARI	___ passu (equably)
UNICEF	1965 Peace Prize recipient
URAL	Orsk's river
NOTI	"Don't look at me!"
IKANTLETGO	Declaration about unhanding a German philosopher?
RAHRAH	Showily enthusiastic
ATON	Heaps
ROK	Seoul soldier
AMAT	Latin conjugation word
MYRA	Hess who was a dame
ERODE	Gradually remove
DUST	Composition of some clouds
ESTE	Borgia in-law
ATARAXY	Peace of mind
REAR	Caboose
ADRUM	Tight as ___
OMNIBUS	Anthology
MARXTIME	Era of a German philosopher?
LINED	Like a sleeping bag
RENA	Sofer of soaps
ENCRUST	Overlay, in a way
IST	Suffix with guitar
TARTAN	Dundee design
TBONE	Delmonico alternative
ROTATE	Take turns
OVO	Ab ___ (from day one)
TICKED	Teed off
OILRUB	Massage parlor offering
OZARK	___ National Forest, Ark.
IONIA	Conquest of Croesus
CLXVI	Year in Marcus Aurelius's reign
LEROY	"Quo Vadis?" director Mervyn
ZOE	Pulitzer-winning writer Akins
MOORETOCOME	English philosopher not yet arrived?
OOPS	Cry over spilled milk
OHNO	"That's awful!"
MAIN	Kind of a drag
ENDS	Bounds
ANTE	White chip, often
ESS	River's path, possibly
NOURI	Michael of "Flashdance"
KHAN	Hayworth's royal hubby
RIGS	Convoy components
EPSOM	Derby Stakes site
ENID	Chisholm Trail town
KAOS	C.O.N.T.R.O.L. enemy
STYE	Eyelid problem
DONS	Puts on
