DEVIL	New Jersey NHLer
DOTS	I lids?
EVEN	Having neither side ahead
VINE	Tarzan's transport
INDEPTH	Very detailed
LEEZA	TV host Gibbons
ACME	Top spot
ALF	Politico Landon
COO	Pigeon patter
MOODY	Temperamental
ETTU	Caesar's accusation
PCBS	Environmental toxins, for short
PHOTOID	It may be checked in a security check
COPPERHEAD	Police officer's woe?
BRIAR	Pipe material
SAENS	French composer Saint-___
OVINE	Like Bo-Peep's charges
LOOT	Heister's haul
HORA	Israeli dance
TENDERFOOT	Barkeep's woe?
RESTCURE	Relief for the stressed
OPIE	Mayberry moppet
SNEEZE	Allergic reaction
DUSTPAN	Sweeper's accessory
SHANE	Alan Ladd classic
PASSBY	Ignore
SWIG	Deep drink
BARNONE	Without exception
HOERS	Weed killers
PORT	Left on a liner
PURR	Good engine sound
OHIO	Akron's home
RUBBERNECK	Masseur's woe?
TWA	Bygone carrier
FAIR	In bounds
FASTBALL	Sizzling pitch
UHUH	"No way!"
CIR	Geometric fig.
ANDHOW	"You can say that again!"
OGRE	Folklore fiend
WOKS	Pans for stir-frying
RIB	Chest protector
PUGNOSE	Boxer's woe?
PETER	"___ Pan"
OPAH	Colorful fish
EGO	Sense of self
ROBBER	Thief
BREEZES	Mild currents
OPT	Go (for)
BARK	Initials may be carved in it
BIFOCAL	Like some lenses
ERTE	Art Deco artist
NAB	Get the drop on
IDES	Midmonth time
AGREE	See eye to eye
AGILE	Quick-witted
GENIE	Wish granter
BEHALF	Sake
BLOCK	City division
LOESS	Windblown soil
GENERAL	War planner
ADOS	Ruckuses
LOOSES	Takes off the leash
SHUE	Elisabeth of "Leaving Las Vegas"
EINE	German article
SNAP	Go ballistic
INEZ	Don Juan's mother
DOUBLECHIN	Stunt man's woe?
UTE	Colorado native
BOW	Reaction to applause
LICE	Wingless parasites
OCTO	Eight, for starters
SAUNA	Where to find sweaters?
EEKS	Mice-inspired yelps
SKEW	Warp
SLEEP	Sheep counter's quest
