BEATSUP	Licks
BOVARY	Literary adulteress's surname
ENAMOR	Bewitch
ATREUS	Father of Agamemnon
THANX	"I appreciate it," in text messages
SEND	Transport
UMA	Meryl's "Prime" co-star
PASSIONFRUIT	It's also known as a maypop
NECTAR	Plant production
NESTS	Forest homes
ETTU	Shakespeare rebuke
CHAP	Get rough
TAILFANS	Crayfish features
ANNERICE	Creator of the Mayfair Witches
RESTYLES	Makes over
ONTHEMAP	In a position of prominence
PIERRELENFANT	Architect interred in Arlington National Cemetery
ETHANE	Hydrocarbon with two carbons
VARANASI	City founded by Shiva, according to legend
STAINS	Reasons to presoak
AMEND	Reform
SEPTUPLET	One in a crowded delivery room
PUSSYWILLOWS	Russian Orthodox substitutes for palm branches on Palm Sunday
ROUX	Soup thickener
VIRUS	It may be written in code
VOIR	___ dire
FRY	Overdo the tanning
YRS	Information on wine bottles: Abbr.
BOORS	Insufferable guests
BEERS	Case load?
SNAIL	Mobile home dweller
SPIRE	Staple of gothic architecture
NOSE	Slim win margin
SEINES	Fish catchers
STAT	"At once!"
PONCE	Puerto Rican seaport
BUTTERFLYKISSES	Expressions of affection made with the eyes
BARBADOS	Island nation with a trident on its flag
UNIONIST	Supporter of the North
TWOPENCE	British coin introduced in 1971
KITE	One of many lost by Charlie Brown
ANWAR	First name of a 1978 Peace Nobelist
REWIRE	Renew old connections?
RIOTS	Shows anger publicly, say
UNITE	Throw in together
GUS	Kahn of Broadway
GAMBIA	Smallest republic on the African mainland
UNBELT	Begin disrobing, possibly
SEARLE	English illustrator who created the "St. Trinian's" cartoon series
BOP	1940s musical innovation
RIFLE	Drill item
ROSES	Anniversary order
BANE	Unhappy influence
BAMBI	"___ Meets Godzilla" (classic 1969 cartoon)
ANECDOTAL	Not fully reliable, as evidence
CAIN	First son
DRNO	1962 title film character played by Joseph Wiseman
GAMBA	Viola da ___ (old stringed instrument)
GENT	Mannerly man
DINARS	Mideast dough
NOVEMBER	William Cullen Bryant poem that begins "Yet one smile more, departing, distant sun!"
VIA	Through
OSCINE	Like many songbirds
TWINBILL	It's more than just a game
STENOS	Monologue writers?
SATIATE	Fill up
