SPAM	Filter's target
SSTS	Jet-setters' jets, once
POOH	Hundred Acre Wood denizen
AHME	"Oy vey"
MODELT	Old car that was famously available in black, black ... or black
ABIT	Not much
ALCHEMY	Middle Ages pseudoscience
BOK	___ choy
IRAQ	2008 campaign issue
TENURE	Fire insurance?
RSVPS	Answers a party invitation
RAH	"Go, team!"
STARTREK	1960s TV series with numerous spinoffs
VERA	Designer Wang
PART	Role
STYE	Ocular woe
SOHO	Big Apple neighborhood
LORE	Stuff of legend
ATEAT	Rankled
TOMDICKANDHARRY	Anybody ... and the missing clues for 30-, 48- and 63-Across
ISO	Equal: Prefix
DIETS	Loses on purpose
SHEESH	"Cut me some slack!"
QUI	On the ___ vive
RATE	Assign an NC-17, say
LOEB	Singer Lisa with the 1994 #1 hit "Stay"
BARD	Shakespeare, e.g.
RENT	Monopoly payment
NUTSO	Bananas
NEAT	Sans ice
NAACP	Org. co-founded by W. E. B. Du Bois
ELGAR	Composer heard at graduations
ATARI	ColecoVision rival
MALETURKEY	???
LORNE	Michaels of "S.N.L."
KEENE	Carolyn who wrote Nancy Drew mysteries
ELIEL	Architect Saarinen
YENTL	Barbra Streisand title role
ALT	Ctrl+___+Del
PYRO	Firebug
PETAL	Blossom element
STEELE	1980s TV's "Remington ___"
AGAVE	Tequila source
VAVAVOOM	"Sex-x-xy!"
DRJ	N.B.A. Hall-of-Fame nickname
JAYZ	Rap star who co-owns the New Jersey Nets
SKEIN	Ball of yarn
CARATS	Ring figures?
STOIC	One who bites the bullet
NATO	Its HQ is in Brussels
TEENTSY	Wee
NET	Trawler's equipment
PRIVATEEYE	???
EUROPE	Area in a grand tour
SELL	Order in a bear market
SUNNER	Person in a solarium
ALOU	Slugger Moises
ZEBU	Domesticated ox in India
BOA	___ constrictor
BEAV	Wally's little bro
BAMA	The Crimson Tide, to fans
ENID	City along the Chisholm Trail
ANNA	"___ Karenina"
IRS	Org. with an e-file option
SNOB	Name-dropping sort
NONEED	"Don't bother"
ETAT	Coup d'___
ELSE	End of an ultimatum
DYES	Goes platinum?
ANNOYCONSTANTLY	???
YRS	Mos. and mos.
SPA	Escape from the rat race
MINOR	Teen, maybe
POPS	Daddy-o
EASE	Relaxation
ADAMS	___ apple
EBAY	Online auction site
RTES	MapQuest suggestions: Abbr.
