ALIT	Came down (on)
ADAGE	Bit of wisdom
LULLS	Downtimes
IMSET	"No more, thanks"
TBONES	Butchers' offerings
SAVE	Word processing command
SERF	Toiler of yore
ADAR	Purim's month
VISE	Workbench attachment
ETHYL	___ alcohol
DAFFY	Off the wall
DOGEAR	Makeshift bookmark
ANAGRAMS	Angered and enraged, e.g.
FANG	Dracula feature
FIGS	Big Turkish export
YRS	Mos. and mos.
DUMB	Word before luck or cluck
EDIT	Cut, maybe
ONAIR	Studio sign
ALSO	To boot
RASH	Ill-considered
GANGS	Targets of some busts
GLENNFREYSEGGS	Breakfast specialty of a rock singer?
NEWER	More recent
SEC	Wall St. watchdog
ESTEE	First name in cosmetics
LEAR	King of the stage
SWATS	Spanks hard
ALB	Priestly garment
TAOS	Pueblo dweller
STYLE	Topic for Vogue
CRANKS	Constant complainers
NATO	Mil. alliance since 1949
KNEW	Had down
SEWN	Tailor-made
SPA	Relaxing place
SPUD	Tater
PEPE	Le Pew of cartoons
ATOP	Perched on
ELATE	Carry away, in a way
ELAN	Pizazz
MANE	Zebra feature
PETERBOYLESSTEW	Lunch specialty of an Emmy-winning actor?
ENORMOUS	More than big
ETA	LAX posting
SECTS	Religious offshoots
UPON	Informed about
SLATE	Popular online magazine
OWN	Part of M.Y.O.B.
DEPOSE	Topple
SECRET	It may be under your hat
ENO	Brian of ambient music
ENACT	Pass
TUTTUT	Sound of rebuke
RENO	Clinton cabinet member satirized by Will Ferrell
OOHED	Expressed amazement
TULSA	Arkansas River city
LEONE	Director Sergio
SAUTE	Brown, perhaps
AKRON	Rubber hub
SAMCOOKESSTEAK	Dinner specialty of an R&B singer?
SORE	Teed off
ALGA	Bit of aquarium growth
KIWI	Fuzzy fruit
EVER	"Did you ___?!"
SERE	Lacking moisture
COLOR	Spectrum part
CAB	Certain red wine, informally
HIVE	Busy place
TOUR	Docent's offering
ARGUE	Bicker
EWER	Basin go-with
UNTO	A law ___ itself
BEAST	Brute
DIRE	Foreboding trouble
TEEN	Freshman, most likely
