MAUI	Lanai's county
MITT	A baker might have a hand in it
ATHOL	Massachusetts city called Tool Town
USENO	"I swear I ___ art at all": "Hamlet"
INFUSEWITH	Give the flavor of
ABES	Five-spots
ATT	Court fig.
BOLSTERS	Gives a shot in the arm
EVACUEE	Hurricane survivor, maybe
SEDANS	Lots are in lots
BEEBE	Deep-sea exploration pioneer
BUS	Something to take a pass on
ENID	Often-referenced but never-seen wife on "Scrubs"
ETNA	Site of Vulcan's smithy
BIGD	Stars' city, informally
ELSA	The bride in Wagner's "Bridal Chorus"
ITSNOTOVERUNTIL	With 17-Across, encouragement for a trailing team
OASES	Relief providers
RYNE	Slugger Sandberg
THEFATLADYSINGS	See 14-Across
TONUS	Normal muscle tension
SCAN	Search
DADA	It originated at Zurich's Cabaret Voltaire in the 1910s
LOSE	Get blitzed
TUNED	Ignored, with "out"
DRAY	Transporter of heavy loads
ESTEES	Actress Chandler and others
TONI	Lydman of the N.H.L.
RIOTS	Occasions to use pepper?
INHOSPITAL	Like many laid-up Brits
ODEA	Concert halls
TBAR	Apparatus for pull-ups?
SSTS	They had Machmeters, briefly
ISAW	Caesarean section?
IAMS	Pedigree alternative
STAT	Recap figure
ASIA	Java setting
ORE	See 46-Down
BANDBS	A.A.A. listings
BREW	Java, e.g.
ATSIGNS	Parts of e-mail addresses
GALE	One might make waves
DRYHEAT	Baking need
DIATRIBE	Venomous venting
MAITAI	Tiki bar order
WIE	Golfer who turned pro at age 15
WROTEUP	Put to paper
OARS	Things locked into place
STAHL	Newswoman Lesley
PRAWNS	Wharf fare?
PINKOS	Types a little to the left
NOVAE	Bright spots in the sky
ELIOT	1948 Literature Nobelist
LEAD	With 34-Across, slag furnace input
OPEC	Vienna-based grp. with no European members
EARLE	1960s Joint Chiefs of Staff chairman Wheeler
CLUES	Things pieced together
AMOI	Opposite of yours, in Tours
ALDA	1985 Oscars co-host with Fonda and Williams
MEAT	Nut part
OTIS	Its products go up and down
ISLE	1-Across, for one
ENTR	___'acte
VIALS	Apothecary's stock
SEXT	Send explicit come-ons by cell phone
LETSMAKEITATRUE	With 60-Across, risky "Jeopardy!" declaration
MYA	R&B singer with the hit "It's All About Me"
TLC	R&B group with the hit "Ain't 2 Proud 2 Beg"
DAILYDOUBLEALEX	See 57-Across
ATSEA	Out with the junk, say
SPEC	It's risky to build a house on this
LEST	In case
