MADAM	"__, I'm Adam"
MAJA	Naked Goya subject
AMOS	Andy's pal
DAIS	Roaster's spot
ANNA	"__ Karenina"
MATING	Defeating, in chess
CLOT	Circulatory blockage
CRT	PC screen
LOOPY	Off one's trolley
ONCE	"__ bitten, twice shy"
TIKRIT	Saddam's hometown
HAW	Back end of a bray
HUNAN	Zesty Chinese cuisine
ABOVE	On top of
WANER	Cooperstown's Paul or Lloyd
AMANA	Refrigerator name
RONI	Rice-A-__
CUBA	Bay of Pigs locale
CANOPENER	First game of a jail doubleheader?
JOINTSTOCK	Cattle in jail?
SLOAN	__-Kettering Institute
ANON	Al-__ (support group)
ASSAIL	Lay into
PER	According to
NAVE	Basilica's center
NOSY	Like a yenta
SPEEDS	Risks a ticket
IRONER	Wrinkle remover
REDS	Cincinnati nine
STOPGAP	Temporary fix
SAGS	Loses firmness
TILL	Cash compartment
OREO	Cookie since 1912
PENPUSHER	Unmannerly sort on the jail chow line?
STEP	Dance move
SLIEST	Hardest to outwit
AIRE	Suffix with billion
NEAL	Patricia of "Hud"
ALI	"Sting like a bee" boxer
DERAT	Clean up, Pied Piper-style
RAGE	All the __ (trendy)
ARGO	Jason's ship
TESS	Dick's Trueheart
GLENN	Astronaut/Senator John
NERO	Fiddling emperor
ELI	Yalie
SNARE	Booby trap
SLOPE	Skier's run
DIES	Conks out
STAFF	Shepherd's stick
EGGS	Halloween ammo
URBS	City areas, informally
BRASCO	"Donnie __" (Depp/Pacino film)
STEREOS	Audiophiles' buys
ETERNE	Forever, in verse
TENSOR	Stretching or tightening muscle
TUDOR	Henry VIII's house
ETUDE	Chopin composition
NAPES	Backs of necks
STAT	"Now!" in the OR
SPICE	Flavor enhancer
UTAH	The Beehive State
ASP	Cleopatra's killer
STOW	Stash in the overhead
FERGIE	Prince Andrew's ex, in tabloids
RYES	Sandwich loaves
GIGS	Jazzmen's jobs
INRE	Concerning, on memos
EGOS	Swelled heads
DUPE	Pull a fast one on
STIRFRYING	Operating the jail fast-food counter?
RAN	Entered a primary
ODER	River to the Baltic
COCA	Imogene of early TV
NEGRO	United __ College Fund
RES	Hi-__ graphics
OWEN	Novelist Wister
ESSES	Snaky shapes
