AIMS	Prepares to fire
AGERS	Golden __ (seniors)
INLET	Shore recess
MAMMY	Yokum matriarch
STOOLS	Bar perches
PACT	Hostilities ender
POPE	John, Paul, or John Paul
ASEA	On the bounding main
CLAN	Hatfields or McCoys
TOSCA	Puccini classic
CROSS	Christian symbol
CRISCO	Shortening brand
ROOTSOUT	Removes entirely
OTTO	Director Preminger
SOAR	Fly high
SRS	Many AARP members
GNAT	Pesky flier
OSLO	Scandinavian capital
ROTOR	Copter part
ELMO	Ticklish Muppet
PEAS	Potpie spheroids
IOTAS	Greek I's
REMOTEANCESTOR	Great-great-great-great-great grandfather, e.g.
TETRA	Neon __ (aquarium fish)
ERR	Boot one
STYLE	Fashion sense
ARCS	Compass lines
STEAL	Terrific buy
EEN	Poet's dusk
APTS	Many NYC dwellings
LOGES	Stadium sections
ROOKED	Swindled
KNIT	Make bootees, e.g.
EDNA	TV's Dame __ Everage
DOGG	Rapper Snoop __
IFA	"__ tree falls ..."
IDEA	Light bulb, in comics
FIAT	Via Appia auto
ASCH	"The Nazarene" novelist Sholem
REPOT	Move to fresh soil
TROT	Hambletonian gait
UNDO	Take apart
DISTANTGREETING	Not-so-cordial handshake
THEPRESS	Newspapers, collectively
EUR	Luxembourg's cont.
ELAND	Spiral-horned antelope
EACH	Per item
SEOUL	South Korea's capital
TAG	Playground game
ATHENS	Parthenon site
NESSIE	Loch legend, in tabloids
SKI	Enjoy Vail
STRAD	Fine violin, for short
DANIEL	Trailblazer Boone
PEKE	Toy dog, familiarly
EGGON	Provoke, as with a dare
NADIA	Gymnast Comaneci
DELLA	Reese of "Touched by an Angel"
ISLES	Cruise stopovers
ASSET	Black-ink item
FARSIGHTEDNESS	Result of a too-short eyeball
FLOE	Arctic floater
AURA	Angelic ambience
HOHO	Syllables from Santa
TONG	Grip, as an ice cube
ENOS	Slaughter in Cooperstown
FLUES	Chimney channels
FTC	Anti-fraud agcy.
GOON	Hockey  thug
ILLS	Sorry situations
TORSI	Human trunks
OHNO	"This can't be!"
ELEE	Gen. Robert __
CEASE	Partner of desist
NOGS	Eggy quaffs
LAST	Hang in there
