SNOBS	Nose-in-the-air sorts
SNUG	Close-fitting
NAPA	California wine valley
OVAL	Locket shape
BAREBACK	Like some circus riders
SLO	__-pitch softball
BARI	Adriatic port
BANES	Causes of ruin
ANDY	48-Across's dad
ROT	Go bad
INHUMANE	Lacking compassion
COMA	Robin Cook thriller
CABANA	Poolside enclosure
OMEN	Black cat, to some
MENU	Beanery handout
ANDS	Added stipulations
NAVAL	USNA part
ANON	"Author unknown," for short
AMEN	Congregational comeback
UPAROUNDTHEBEND	1970 Creedence Clearwater Revival hit
URGE	Twist the arm of
ERA	Victorian __
GALE	Strong wind
REY	Marina del __
URANUS	Planet beyond Saturn
BEGS	Seeks a doggie treat
ETHIC	Set of principles
OMAN	Mideast's Gulf of __
OATHS	"Egads!" and others
OPIATE	Pain-relieving drug
ORBIT	Lunar path
PAUSE	Tape deck button
INCAS	Cuzco people
BAA	Ovine utterance
BETEL	Narcotic-yielding palm
ASTO	Regarding, in memos
SPENT	Shelled out
TENSE	All in knots
ORDER	Judge's shout
RANCH	Dressing style
AETNA	Health insurance name
AGGIE	Animal husbandry major, say
ATSEA	On the briny
PER	Pricing word
BUCKINGTHETREND	Acting the contrarian
NATIONAL	DC ballplayer
REALTIME	Hours actually elapsed
ISA	"Life __ beach"
CAGES	Menagerie units
SENSE	Get a feeling
TEST	Beta version, e.g.
TOGGLE	On-off switch, for one
TIL	Up to, in ads
BEATER	Rug-cleaning gadget
BUFF	Put a shine on
OPIE	Mayberry moppet
POI	Luau fare
DUAL	Like a Jekyll-Hyde personality
DAYNE	Pop's Taylor __
GOOGOO	Baby syllables
GIST	Main point
OMAR	Sharif of film
OAHU	Diamond Head's island
OAF	Klutz
ORES	They need refinement
TRIO	ZZ Top, musically
REOS	Vintage autos
INTO	Gung-ho about
ODES	Pindaric works
IMAGINARYFRIEND	Hobbes, to Calvin
ADO	Commotion
REP	Agent, familiarly
SAHL	Satirical Mort
ADEN	Mideast's Gulf of __
EMOTE	Overdo the acting
TRUE	"Can't argue with that"
LOSE	Take a pounding
PESOS	Cozumel cash
