GASPS	Struggles for air
GAGA	Madly in love
ADEN	Yemeni port
SLOT	Vegas machine
PARE	Trim back
SIGNAL	Use a blinker
GODS	Neptune and Pluto, for two
GOBAD	Turn sour, say
OPUS	Important work
DES	__ Moines
SCHEMING	Devious
PECS	Chest muscles, for short
PALL	Feeling of gloom
ELOPE	Run off together
COLOR	Amber or umber
STATE	Union member
ADLAI	Two-time loser to Dwight
OPEC	Crude cartel
ALOT	Oodles
GEORGEBUSH	Ronald Reagan's veep
ENID	Geraint's beloved
LOLA	"Damn Yankees" vamp
ANTENNAS	Pre-cable hookups
EELPOT	Piece of fishing gear
ESTOP	Bar, legally
AID	Lend a hand to
AMS	Pre-noon times
ALINE	Roomy dress
ERE	Before, to bards
AGEOLD	From long ago
ALPO	Fido's fare
GERM	Wheat __
ENOS	Grandson of Adam
OTC	Non-Rx
SLIT	Open with a letter opener
SMILE	Request from Allen Funt
LENT	Time to give up?
AMINO	__ acid (protein component)
ASIDE	Out of the way
POE	"The Raven" author
PARK	The "P" in PRNDL
ONME	Treater's words
ETAL	List abbr.
PROCESSINGPLANT	Producer of food, e.g.
ESSEN	Krupp Works city
STANDFOR	Represent
LIC	Bit of ID: Abbr.
OMS	Mantra syllables
STILE	Subway station entrance
IRMA	"__ la Douce"
SADE	"Smooth Operator" singer
NICKEL	Cost of a candy bar, once
NOEL	Yuletide tune
ISAYSO	"Because __!" (parental rationalization)
COS	Trig fig.
CEDED	Handed over
OXIDE	Rust, e.g.
SPAIN	Part of Iberia
ENE	Suffix with butyl
DOS	MS-__
DRINK	Bend an elbow
EXPAND	Stretch out
ALES	Brewpub offerings
GREASERS	Street toughs with slicked-back hair
GMAN	FBI agent
STAN	Baseball's Musial
ERTE	One-named artist
REIN	Hold in check
SEND	Fax function
DIAL	Old phone feature
FAMILYTREE	Genealogical chart
AMA	GP gp.
EDIE	Falco of "The Sopranos"
OMAN	Muscat's land
SATIN	Gown material
DENS	Cub scout groups
RANK	File crosser
ONEND	Without a break
