ULCER	Gastric woe
UKES	Hawaiian strings
LOSE	Get whipped
CAKE	Soap unit
ELI	Peyton's quarterback brother
RAMPANT	Unchecked
SHED	Mower stowage
SPREE	Mall binge
HOOD	Where the boyz are
ELL	Pipe bend
DELTOIDS	Shoulder muscles
MASS	WMD part
MUDWRESTLER	Dirty fighter, of sorts
ATONE	Make amends
SADIE	Dogpatch's Hawkins
SHOES	Alley rentals
KOALA	Eucalyptus muncher
POLE	Gondola propeller
UTAH	Provo's state
ESKIMOROLL	Way of righting a capsized kayak
OLLA	__ podrida
DODO	Bird clubbed to extinction
SEE	"Told ya!"
PLED	Said, "no contest," say
TOWNIE	Local resident, to a collegian
OIL	Garage supply
MALE	__ bonding
MOONMULLINS	Frank Willard strip
SOIREES	Evening dos
SHEER	See-thru
RAMONA	Helen Hunt Jackson novel of 1884
REBS	Boys in gray
ALOE	Natural emollient
MIRA	Sorvino of "Mighty Aphrodite"
CHILE	Easter Island's owner
COVER	Nightclub charge
ELIOT	Untouchable Ness
COED	Like many college dorms
CAVED	Yielded to pressure
SAME	"__ difference!"
ARIE	Luyendyk of Indy
MIND	Pay heed
EGGY	Like French toast
BORN	Headstone word
RAVES	Super reviews
RETRACTS	Takes back
TRIG	HS math course
SEAM	Coal layer
EVER	Rarely, if __
SLING	Stone propeller
SPARSER	Not so dense
UTTER	Out-and-out
TAI	__ chi
SPEEDY	Alka-Seltzer pitchman
SEEM	Appear to be
MILLARD	President after Zachary
MARAT	Corday's victim
IMAGE	Publicist's concern
LEVIS	Some jeans
TEAR	Go like mad
TRADE	Piece of sports page news
AMELIA	Reformer Bloomer
BRER	Uncle Remus title
BEAR	Soldier Field player
SOB	Blubber
SCOW	Garbage hauler
OLDE	Word after "ye" on signs
BEER	Stadium vendor's wares
RAVI	Sitarist Shankar
CREAMSICLE	Two-tone treat on a stick
ROO	Aussie bounder
IRA	Glass of public radio
AGIN	Opposed to, in dialect
TOAD	Revolting sort
ERODE	Eat away at
TESS	Hardy heroine
SORE	Teed off
RAWER	Less refined
