SANDS	Makes smooth
SSS	Draft board initials
ATOP	Mounted on
NANA	Granny
DRAPE	Window dressing
SERENE	At peace
SOTS	Boozehounds
SOSO	Just fair
OPER	Abbr. on a telephone's "0"
TARP	Rain-delay rollout
SLALOM	Zigzag downhill
APES	Jungle swingers
AVAST	Skipper's "Stop!"
PINTA	One of a 1492 trio
EATIN	Have a pie delivered, say
SLICE	Part of a pie
STARE	Vacant look
OPAL	October birthstone
VIAL	Perfume container
SONAR	Sub detector
SERA	"Will be," in a Doris Day song
ANTI	Opposing
PAPERORPLASTIC	Question from a supermarket bagger
RENDS	Tears to bits
ACUTE	Like a 45-degree angle
ENE	U-turn from WSW
OCTANE	Gas pump number
AHA	"Eureka!"
ALPO	Brand for Fido
HAUL	Do a trucker's job
ARBS	Some Wall St. traders
ENC	SASE, e.g.
COHAN	"Yankee Doodle Dandy" composer
SMU	Dallas sch.
STRAD	Prized violin, briefly
LARA	"__ Croft: Tomb Raider"
ALE	Hoppy brew
DONT	"__ call us ..."
NOG	Quaff with fruitcake
TOPIC	Debate issue
ORE	Mine yield
PILL	Dosage unit
ISLE	Land in the ocean
CHAD	Ballot punch-out
PUBLISHORPERISH	Phrase of professorial survival
INTRO	Emcee's spiel
PRAYS	Says grace, e.g.
OLSEN	Comedic Ole
AGAR	Petri dish gel
ELLA	Raines of film
TAN	Beachgoer's goal
AERIAL	Pre-cable hookup
DAB	Brylcreem amount
BAHAMA	Grand __ (Freeport's island)
LED	Took command
ASHORE	On dry land
ASTOR	Fur tycoon
STOVE	Potbelly, for one
HONED	Put a sharp edge on
OPENS	Precedes the headliner
YAM	Thanksgiving tuber
MONET	Painter Claude
STOPORILLSHOOT	Words to a fleeing criminal
IDLE	Out of action
LETS	"Shall we?" response
LAOS	Neighbor of Vietnam
OTTO	"Beetle Bailey" pooch
TORN	In need of mending
TONE	Vocal quality
IDEA	Light bulb, in comics
ANTON	Composer Bruckner
NEE	Born, in bios
OVEN	Baker's need
ALTO	Type of sax
METRE	Three feet plus, to Brits
REDS	Half the checkers
LESS	Reduced by
ATONE	Do penance
