STOPS	Metro map points
SAPS	Drains of energy
TROT	Sulky-puller's pace
OGRE	Cruel dude
PUTT	Any minigolf shot
SEESOUT	Shows to the door
JELLS	Takes shape
JOHNS	Long __ (cold-weather wear)
EROS	Libidinous god
LIU	Lucy of "Ally McBeal"
LOST	Like Bo Peep's sheep
SNEEZED	Reacted to pollen
WES	Horror director Craven
WRITINGPAD	Note-taker's need
EIDER	Source of soft down
SPODE	Name in fine china
ARGUE	Present one's case
ORION	Celestial hunter
RIP	Job for a tailor
PORTERHOUSE	Steak selection
ROMP	Easy victory
IDO	Oath affirmation
STETSONS	Oater toppers
TESTED	Battle-hardened
SAW	Magician's prop
OMS	Mantra sounds
ZAIRE	Congo, for a time
FOULUP	Make a mess of
FIAT	Autostrada auto
OSSO	__ buco (veal dish)
UNITSPLACE	Column just left of the decimal point
LOS	Rock's __ Lonely Boys
STREWN	Scattered here and there
SIZES	Grande and venti, at Starbucks
TREY	Deuce topper
RED	Winter's-day nose hue
ISNOT	"This __ a drill!"
WIRED	Over-caffeinated, maybe
WAGE	Carry on, as a war
GPA	4.0 is a great one
PETE	Rose, the all-time hits leader
AXED	Sent packing
ASIS	Sales tag words
HAZED	Put through hell night, say
HOG	Don't share
APEX	Very top
ARI	The D'backs, on scoreboards
TOT	Rugrat
BOGEY	Respectable score for a duffer
BANANAS	Chiquita's bunch
CRATE	"USE NO HOOKS" stencil site
CHARGED	Paid for with plastic
STAGES	Rocket sections
TEL	__ Aviv
CHIDED	Said "Tsk!" to
CAEN	Normandy port
ASPEN	"Quaking" tree
ACURA	MDX and RDX automaker
SATED	Stuffed to the gills
AAA	Highest level of minor league ball
AVIAN	Bird-related
CALLAS	Maria of the Met
SORE	Really teed off
OVERACTS	Hams it up
OHNO	"This can't be!"
AFRO	Early Michael Jackson 'do
CLIP	YouTube video offering
TAKE	Make off with
STAY	Hang out
UTA	Hagen of stage and screen
NOTHINGFLAT	No time at all
TET	Vietnamese holiday
REC	__ room (play space)
ARENA	Sphere of combat
ERIKA	Slezak of TV soaps
ADE	Fruity quaff
SETON	__ Hall University
DOPEY	The silent Dwarf
