LAPD	Sgt. Friday's force
LACE	Doily material
ALOU	Baseball's Moises or Felipe
PAWN	One of sixteen on a chessboard
DICIER	More chancy
DUOS	Sonny & Cher, et al.
DETERGES	Cleanses
USC	Football rival of UCLA
OTHE	Will-__-wisp
SEENA	"... like you've just __ ghost!"
SCAR	Surgery souvenir
STAY	Collar support
CALFMUSCLE	Something an athlete might pull
ADIEU	"See you"
RATED	Gave four stars to, say
ALAI	Jai __
ESTES	__ Park, Colorado
SRTAS	Sp. misses
TADA	Bit of vocal fanfare
COWCATCHER	Locomotive's front
ACRID	Sharp-smelling
ALIT	Touched ground
EUNICE	__ Kennedy Shriver
ENTRYFEE	Contest charge
RHUM	Baba au __
ERRS	Fouls up
SHREK	Movie ogre
AAH	Sigh of satisfaction
MUD	Coffee, slangily
ALBRIGHT	Former Secretary of State Madeleine
ALMA	__ mater
LOOT	Pirate's haul
BULLDURHAM	Costner baseball film
TAROT	Fortuneteller's card
SULU	"Star Trek" helmsman
LES	Guitar pioneer Paul
LOU	Bud's comic buddy
DERAT	Rid of rodents
TIDAL	__ wave
MESTA	Hostess Perle
TAIL	Comet or kite feature
ABEL	Cain's victim
MOLT	Shed one's skin
TAU	Greek T
SERIF	Letter embellishment
FACEGEAR	Kind of toothed disk
SCAB	Picket line defier
ATLAS	Book of maps
SETH	Younger brother of 38-Down
KODAK	Brownie camera maker
KOALA	Aussie eucalyptus muncher
LIE	Tell a whopper
DUES	Membership fees
SAABS	Swedish imports
TACOBELL	Chain serving Mexican food
BROTHS	Clear soups
APU	"The Simpsons" storekeeper
ABYSS	Bottomless pit
PAMPA	Argentine plain
TAT	Tit for __
TREES	Orchard units
LEAR	Shakespearean king
BARCHART	Graph consisting of parallel rectangles
CARE	Give a hoot
TERA	Trillion: Prefix
GLORIA	Singer Estefan
REAP	Gather up
IRMA	"__ la Douce"
ASST	Aide: Abbr.
YMHA	Jewish youth org.
BEEFEATERS	Tower of London guards
FRA	Lobster __ Diavolo
SPAR	Duke it out, in practice
SERRA	Missionary Junipero
HAMS	Radio hobbyists
SAME	"__ Time, Next Year"
SAAR	Coal-rich German region
SPAT	Launched a watermelon seed
