OHARA	Scarlett's surname
OAKS	Squirrels' homes
HINT	Charades gesture, e.g.
ADUE	Together, musically
RACE	Tour de France, for one
ANKLETS	Short socks
SHRUB	Azalea or spirea
SLEDS	Iditarod lineup
HHH	LBJ's VP
RAE	"Norma __" (Sally Field movie)
USA	World Baseball Classic team
BADDEAL	Buyer's mistake
OPS	Coin-__ (candy machines, e.g.)
OPENSEASON	Prime time for hunters
PARSE	Analyze grammatically
SWEET	Like dessert wines
AIDAN	Quinn of "Crusoe"
LHASA	Tibet's capital
PAW	Handle clumsily
KNUCKLEHEAD	Lamebrain
LEAS	Places to graze
ERE	"Able was I __ ..."
STEELED	Filled with resolve
DENSE	Like a 17-Across
ETC	"The list goes on," briefly
EAST	Right on the map
THEVIEW	Barbara Walters talk show
GETSET	Words before "Go!"
GRIN	Cheshire cat's expression
ASCOTS	Fancy neckwear
ASEA	On the briny
SOLD	Auctioneer's cry
CUBANCIGAR	Hard-to-get smoke, in the US
ORE	Smelter input
HORACE	Journalist Greeley
OVEN	Place to use Easy-Off
SOURS	Turns bad
DEVIL	Hell of a guy?
DIEM	Per __ (by the day)
ABU	__ Dhabi
BIRD	Rhea or emu
USES	Plays for a sap
ELBE	Hamburg's river
GIVEN	Like a first name
GLAD	Tickled pink
ASIS	Clearance sale caveat
ADE	Sidewalk stand quaff
ADA	Critic __ Louise Huxtable
KLEIN	Calvin of fashion
KNISHES	Stuffed deli snacks
ADORE	Really go for
AMHERST	Massachusetts college or its town
NONAME	Brand X
OLE	Soccer stadium cheer
AMENDS	Makes improvements to
ATNO	Periodic table fig.
EUCLID	Ohio city named for a mathematician
ESTEE	Lauder of cosmetics
UHURA	"Star Trek" lieutenant
WITH	"What's up __ that?"
IOWAN	Hawkeye State native
SHIES	Recoils from fright
ONEACTS	Some short plays
ASHY	Pasty-faced
CHIP	Short shot on the links
TINE	Pitchfork prong
SPED	Risked a ticket
TUG	Harbor craft
HEROWORSHIP	Excessive admiration
EVE	Party time, maybe
RIT	Slowing, in mus.
OTO	Ear: Prefix
ERA	Bull pen stat
EVITA	Hit musical set in Argentina
SHINE	Perform superbly
EAR	Mr. Potato Head piece
SETON	__ Hall University
TYPED	Pounded a keyboard
