PAD	Hippie's home
PASTE	Cut-and-__
ATEAM	First-stringers
DEARE	"The Wreck of the Mary __"
SAGAN	Carl of "Cosmos"
SAY	Two cents, so to speak
ADORED	Was gaga over
GOUT	Joint woe
ABNER	Capp's Yokum
NEG	Photog's image
SHAFT	Mine passage
STEVIENICKS	Fleetwood Mac singer
HIVE	Honeycombed home
AGAR	Petri dish gel
FEDS	G-men and T-men
TREE	Palm, for one
ATE	Chowed down
ADOBE	Hacienda brick
TIGER	Hobbes, in "Calvin and Hobbes"
SEANYOUNG	"Fatal Instinct" actress
NORMARAE	Oscar-winning Sally Field role
EVADE	Give the slip to
TARO	Poi source
RTE	Numbered rd.
AVERSE	Strongly opposed
AVE	Forum greeting
EMERGE	Come into view
GENETIERNEY	"Laura" star
RAVI	Sitarist Shankar
ANNIKA	Golf pro Sorenstam
MEDS	Prescription items, for short
SOMALI	Iman is one
NEEDNOT	"Winner __ be present"
DANDYISH	Like a fop
NCAR	Tar Heel State: Abbr.
ORNO	"Answer yes __"
TEEM	Abound
PECAN	Pie nut
PSST	Furtive whisper
ETTA	Kett of old comics
COOK	Chuck wagon figure
OWN	Have title to
WAR	Simple card game
NACRE	Abalone shell lining
STORE	Item in a chain
MAI	__ tai (rum drink)
INANE	Pointless
STOAT	Brown ermine
ARK	Two-by-two vessel
CDROM	PC encyclopedia medium
TAKEILL	Get sick
LPS	Audiophile's shelfful
ALKY	Skid Row denizen
LABREA	California's __ Tar Pits
EPIC	Cast-of-thousands film
CLERK	Bob Cratchit's job
ASIDES	Stage digressions
DEALT	Handed out
ELLIE	"Dallas" matriarch
SALSA	Zesty dip
CHEERS	Bar "where everybody knows your name"
CLAM	Chowder morsel
HOMO	__ sapiens
EGOS	Swelled heads
EIRE	Cork's land
LAB	Research room
ARLO	Folksy Guthrie
SELA	Ward of "Sisters"
LOGIN	Access AOL, e.g.
JERRYHALL	Mick Jagger ex
JAS	Madison or Monroe: Abbr.
YSL	Designer label initials
AMORE	Martin's "That's __"
ARLES	Van Gogh painted here
LIS	Fleur-de-__
MOSEY	Walk unhurriedly
SKOAL	Toasting word
TEA	Mad Hatter's drink
