JETPACKS	Futuristic flying devices
JALOPY	Old heap
ENDURE	Have staying power
TOSS	Turn's partner
PACE	Tempo
AMOK	All over the place
CARE	Show concern
KNEE	Support for a proposal?
SOSPAD	Kitchen scrubber
GLARE	Reason to wear shades
GUERRILLAS	Military rebels
LHASA	Capital of Tibet
AAS	___ in apple
RUE	Lament
ELL	Right-angled joint
MANOAMANO	Without assistance, as in a fight
MOHS	___ scale of mineral hardness
UHAUL	Mover's rental
OLDSCORES	Avengers want to settle them
EASEL	Blackboard holder
HOUSEKEEPERS	Domestics
EDISON	Phonograph inventor
SPR	Growing season, briefly
ADRATES	Fees charged to sponsors
TAPE	Crime scene barrier
EVER	Always
SASS	Be impudent
YECH	"That's disgusting!"
CATT	League of Women Voters founder Carrie
HIGHINCOME	Lucrative
RADII	Diameter halves
REG	Gas pump choice (abbr.)
ADELA	Writer ___ Rogers St. Johns
AVA	"Mogambo" star Gardner
AIMED	Got ready to shoot
MASTER	Become an expert in
SLOPES	Skiers' spots
ODIE	Garfield's pooch
MORTGAGEHOLDERS	They make big monthly payments
MCCC	1300 on a cornerstone
OLIO	Mixed bag
ROAR	Simba's sound
HAS	Owns
CLOTHS	Fabrics
LANAI	Hawaiian island or veranda
CIA	KGB rival, once
ITWAS	"___ my pleasure!"
WRESTS	Takes by force
SESS	Meeting, briefly
SHEKEL	Tel Aviv coin
SURETY	Guarantee
CORONER	Inquest official
OSCAR	Actor's award
HUE	Shade
ESSE	To be, to Caesar
SCREENSAVERS	Idle monitor displays
ELEE	Robert of the CSA
NOTV	Kid's punishment, maybe
SWEE	___'Pea (Popeye's boy)
APAR	On ___ with (equal to)
VOTE	Go to the polls
DELCO	Auto parts giant AC___
DOZ	Egg carton amt.
ENA	"Bambi" aunt
LEI	Oahu souvenir
SLOWPOKES	Dawdlers
ONEAM	Early hr.
TETEATETE	Intimate chat
ZAIRE	African country renamed in 1997
SEVERELY	In a bad way
