ADDUP	Find the total of
APBS	NYPD alerts
DALE	Chip's chipmunk pal
DRUM	Bongo or conga
UTEP	Lone Star State sch.
PACECAR	Tempo setter at Indy
GUSH	Flow suddenly
GOLFED	Played 18, perhaps
UGLI	Wrinkled citrus
SRA	Mrs., in Madrid
HER	The Beatles' "And I Love __"
ACRO	Height: Prefix
APPEAR	Come into view
CREAMSICLE	Two-tone treat on a stick
ROLLE	Esther of "Good Times"
OPTED	Made a choice
PARTA	First section
OGRE	Folklore fiend
PROP	Stage accessory
BLUECOLLAR	Feature of many work clothes
ORE	Mine yield
PELT	Trapper's prize
SEMPERFI	Marines' motto, familiarly
PEALE	Author Norman Vincent __
PEER	Use a spyglass
CEE	Middling grade
STEAMED	Boiling mad
STAN	Ollie's partner in comedy
THATS	"__ all, folks!"
PASTA	Penne or ziti
PIAF	Singer Edith, "the Little Sparrow"
ANKA	"Diana" singer Paul
SWISSSTEAK	Beef entree
TAN	Beachgoer's goal
DITHERS	Bumstead's boss
ISAAC	Hayes or Newton
INWARD	Toward the center
DARER	Risk taker
SAAR	Coal-rich German region
IBM	Co. called "Big Blue"
BALM	Soothing stuff
MBAS	Degs. for execs
AKIN	Similar in nature
AVANT	__-garde
VINE	Trellis climber
SCAB	Picket line crosser
SET	Get firm
FAS	Notes following mi
ARIA	Song for a diva
ALAN	Astronaut Shepard
STELLA	"__ by Starlight"
TIMELAG	Interval between cause and effect, say
SILENCE	It's golden
INESSE	Actually existing
ERECTS	Puts up
ITEMS	List components
ENSNARE	Catch in a trap
ELITE	Upper crust
NAVEL	Innie or outie
RIM	Canyon edge
ILK	Type
LATEN	Grow dark
TELECAST	Air on the tube
TINE	Fork prong
CARA	Irene of "Fame" fame
AYES	Pro votes
SENS	D.C. 100: Abbr.
TRAY	Carhop's load
IVES	Currier's partner
BRICKLAYER	Wall builder, maybe
BRA	Bikini part
RAW	Like sashimi
TEAS	Afternoon socials
RANT	Talk wildly
ARENA	Prize fight milieu
ELKE	Sommer of film
AWES	Leaves speechless
GASSY	Full of fizz
