ASAP	"Fast!" on a memo
ALACK	Woeful word
SUSHI	Bar fare
ANTON	Composer Bruckner
PERCENTAGE	Agent's take, typically
CAST	Assign to a role
CARL	Yastrzemski of Cooperstown
ARIA	La Scala highlight
SLOT	Coin taker
TOTEM	Tribal symbol
CAMAY	Ivory competitor
CATACOMB	Underground cemetery
ABAB	Basic rhyme scheme
MAX	To the __ (fully)
ATE	Munched on
YES	"You bet!"
LUNE	Debussy's "Clair de __"
ARLO	Folksy Guthrie
ABATE	Tail off
ASTR	Sagan's subj.
RIOT	Barrel of laughs
TAXES	One of two certainties
CHOCOLATELAB	Brown pooch, for short
ORE	Mine yield
LAM	Hightail it
KINER	Seven-time homer king Ralph
MAC	Rock's Fleetwood __
LAW	Murphy's __
LEROY	Croce's "bad, bad" Brown
ALONE	Sans companionship
WAND	Fairy's fistful
NEARS	Draws close to
AFB	B-52's home: Abbr.
REEL	Virginia dance
STRUT	Walk like a peacock
MODELA	Classic Ford
DOLLHOUSES	Little girls' playthings
SET	Firmed up
STIPE	R.E.M. singer Michael
ERNST	Dadaist Max
FETA	Greek salad cheese
ARCO	With the bow, in music
MORON	Chucklehead
STRAWBERRYBLOND	Fair-haired one
SHUN	Give the cold shoulder to
WETLANDS	Marshy areas
YER	"So's __ old man!"
HINGE	Door pivot
LUCE	Henry or Clare Boothe
LYE	Caustic stuff
UPSETS	Underdogs' wins
SON	Word in some business names
TORAH	Temple scroll
ARF	Comics bark
NET	Badminton barrier
LOW	Needing refilling
WINOS	Pink elephants sighters
ROUES	Lechers
UDALL	Politico Morris or Stewart
EGGAR	Actress Samantha
SEALS	Circus barkers
VANILLAFUDGE	"You Keep Me Hangin' On" band
VENT	Blow off steam
LARA	Actress __ Flynn Boyle
LICK	Salty spot
ALAS	See 1-Down
LATEN	Get dark
LAS	__ Cruces
AMP	Fuse word
TEA	Caddy filler
NAIL	Catch, slangily
SAGA	It's a long story
AMEND	Make changes to
ORCA	Seagoing predator
ELAL	Airline to Israel
SPATS	Fancy legwear of yore
SAKS	Fifth Avenue store
SLRS	Some cameras: Abbr.
