VASES	Ming artifacts
VOTES	Write-ins, e.g.
AGENT	Go-between
SIDLE	Move like a crab
ELK	Lodge member
SLEDGES	Heavy hammers
CADS	No-goodniks
CANAL	Lock site
ABEL	Genesis victim
DUD	Total flop
STYLISTS	Salon workers
JAWS	__ of Life (rescue device)
JEDCLAMPETT	"Beverly Hillbillies" patriarch
AMOK	Bad way to run
WIRE	Horse race finish line
STAT	"Hurry!" in the OR
OGILL	Disney's Darby __
ABUT	Border on
EMIT	Send out
TEDKENNEDY	John McCain's immigration bill co-sponsor
NEER	__-do-well
DORA	"Dumb __" (old comic)
ENL	Blowup: Abbr.
DEAL	Texas hold'em starter
LOCKET	Photo holder, maybe
OAT	Muesli morsel
STENGEL	Casey, "The Old Professor"
NEDBUNTLINE	Creator of dime novels
VIAL	Perfume holder
VISTA	Far-reaching view
EER	Suffix with chariot
MISTAKEN	In error
MEANT	Had in mind
KEEL	Bow-to-stern structure
ETAL	List abbr.
NERO	Wolfe of whodunits
SANDS	Smooths down
SAMS	__ Club (retail chain)
ABET	Help in a heist
NANA	Zola heroine
BEST	Rating a blue ribbon
BRAUN	Wernher von __
METE	__ out (allot)
ABAB	Quatrain rhyme scheme
FRATS	Campus rushers, for short
FLOWERED	Blossomed
PEAR	Seckel or Anjou
MENU	PC pop-up
LANA	Turner of film
HELLO	"Anybody home?"
HUNTERS	Gatherers' partners
STANDOUT	Really shine
DOE	Buck's partner
HUT	"Survivor" abode
HANK	Unit of yarn
TOWN	Crier's employer
MANTRAS	Mystic chants
MUSKY	Like some scents for men
RATER	"PG" or "X" assigner
ABOVE	Superior to
SANER	Less dotty
ANGLEE	"Brokeback Mountain" director
ATOM	Quark's place
NONO	Taboo act
GRAD	Mortarboard tosser
AUNT	Polly, to Tom
ADIN	Tennis score after deuce
ABA	Lawyers' org.
TORI	Famous Amos
REDSKELTON	Freddie the Freeloader's portrayer
ERE	Bard's before
LEO	Sign before Virgo
ONAN	"__ unrelated note ..."
ERIK	Composer Satie
REEVE	Chaucer pilgrim
MODE	Prevailing style
DENY	Say no to
SORER	More irritated
