TUFTS	Clumps of hair
TSP	Dosage amt.
UAR	Old Mideast inits.
FLO	Impresario Ziegfeld
TVDINNER	Microwaveable meal
SOIL	Agronomist's study
AGLOW	Radiant
APART	In pieces
GEL	Hair goo
LASE	Use a surgical beam on
OCONNOR	Former Justice Sandra Day __
WENTON	Continued
JAM	Wing it, musically
JABBERWOCKY	Lewis Carroll nonsense poem
ARABS	Burnoose wearers
MANET	"Olympia" painter Edouard
SALVO	Battleship broadside
PEACE	V sign's significance
ARA	Astronomical altar
PRODIGALSON	Parable of a biblical wastrel
GENE	Heredity carrier
BAN	Make illegal
ILER	Robert of "The Sopranos"
ENTEBBE	Uganda site of a 1976 Israeli commando raid
ERE	"... __ I saw Elba"
ESPN	Channel for armchair athletes
ESSAY	English exam composition
SCALA	Milan's La __
POKEMONCARD	One of a fad collectible set
NTH	To the __ degree
HAWKEYE	Alan's "M*A*S*H" role
NOREST	"__ for the weary"
SCONCE	Candle bracket
CST	Chicago hrs.
ATONER	Penitent one
TEEN	New driver, often
SAKES	"For goodness __!"
EWER	Ornamental jug
EIRE	Cork's land
WOO	Syllable from Curly
OUTIE	Convex navel
OTOES	Siouan Indians
ALERT	On one's toes
IKE	'50s campaign nickname
STOUT	Hearty brew
SRO	Sellout sign
TERRIBLE	Like Czar Ivan?
YAM	Starchy tuber
WREN	Small songbird
WRESTED	Took by force
RECTO	Verso's opposite
OSPREY	Fish-eating hawk
STL	Monogram worn by Stan Musial
PLASMA	Blood bank supply
YORKIE	English terrier breed, informally
YALL	Dixie pronoun
MANTLE	The Yankees' #7
MEADE	Gettysburg victor
ANTON	Writer Chekhov
ERA	Prohibition __
RAKER	Leaf picker-upper
RYES	Deli loaves
ENCLASP	Embrace
PILL	Dosage unit
ALTI	Height: Prefix
TEAR	Go lickety-split
ATA	__ snail's pace
STICKLEBACK	Spiny fish
CEE	Fair mark
ALP	Matterhorn, for one
CIA	Spy org.
KEY	Anthem composer
DOR	"Le Coq __" (Rimsky-Korsakov opera)
MELEE	Bench-clearing brawl
ALLIE	Kate's TV pal
END	Phase out
ADLER	Harmonica virtuoso Larry
REPAY	Settle, as a debt
